"","site","t","method","order","SC","qD","qD.LCL","qD.UCL"
"1","Antioquia",1,"interpolated",0,0.491,35.333,31.255,39.412
"2","Antioquia",1,"interpolated",1,0.491,35.333,31.073,39.594
"3","Antioquia",1,"interpolated",2,0.491,35.333,31.322,39.345
"4","Bolivar",1,"interpolated",0,0.431,91.333,83.981,98.685
"5","Bolivar",1,"interpolated",1,0.431,91.333,84.412,98.255
"6","Bolivar",1,"interpolated",2,0.431,91.333,84.21,98.457
"7","Cesar",4,"extrapolated",0,0.556,279.923,248.518,311.328
"8","Cesar",4,"extrapolated",1,0.556,NA,NA,NA
"9","Cesar",4,"extrapolated",2,0.556,238.502,209.964,267.04
"10","Guajira",1,"interpolated",0,0.413,69.333,63.667,74.999
"11","Guajira",1,"interpolated",1,0.413,69.333,62.82,75.847
"12","Guajira",1,"interpolated",2,0.413,69.333,62.769,75.898
"13","Huila",1,"interpolated",0,0.425,60.333,54.086,66.581
"14","Huila",1,"interpolated",1,0.425,60.333,54.256,66.411
"15","Huila",1,"interpolated",2,0.425,60.333,53.928,66.738
"16","Patia",1,"interpolated",0,0.781,10.667,9.215,12.118
"17","Patia",1,"interpolated",1,0.781,10.667,9.151,12.182
"18","Patia",1,"interpolated",2,0.781,10.667,9.184,12.149
"19","Tolima",1,"interpolated",0,0.391,67.333,60.566,74.1
"20","Tolima",1,"interpolated",1,0.391,67.333,60.576,74.09
"21","Tolima",1,"interpolated",2,0.391,67.333,60.743,73.924
"22","TolimaS",1,"interpolated",0,0.368,50.667,45.108,56.225
"23","TolimaS",1,"interpolated",1,0.368,50.667,44.661,56.672
"24","TolimaS",1,"interpolated",2,0.368,50.667,44.955,56.378
"25","Valle",1,"interpolated",0,0.404,38,32.936,43.064
"26","Valle",1,"interpolated",1,0.404,38,33.39,42.61
"27","Valle",1,"interpolated",2,0.404,38,32.757,43.243
