Region;Parcela;Biomasa_aerea_tnha-1;latDec;longDec
Caribe;SFF Los Colorados;157,7;9,936583;-75,109786
Caribe;La Paz;75,2;10,374098;-73,165874
Caribe;PNN Macuira;35,8;12,198972;-71,350603
Caribe;Matitas;294,6;11,337991;-72,954881
Caribe;Plato;76;9,776892;-74,705336
Caribe;PNN Tayrona;110;11,313778;-74,127667
ValleMagdalena;Cardonal Loma;180,2;5,089467;-74,774406
ValleMagdalena;Cardonal Plana;80,9;5,075978;-74,799947
ValleMagdalena;Reserva Natural Jabiru;103,9;5,057806;-74,827583
ValleMagdalena;Reserva Natural El Tambor;45,9;5,165917;-74,810306
ValleCauca;Estacion de Investigacion Cotove;30,9;6,531667;-75,831833
ValleCauca;Parque Regional El Vinculo;229;3,835328;-76,294914
ValleCauca;Tamesis;117,6;5,7852;-75,6652
Patia;Taminango;109,6;1,674411;-77,308939
Orinoquia;PNN Tuparro;49;5,246378;-67,8557
Orinoquia;Casirba;112,2;6,360389;-71,894917
