	Bolitoglossa biseriata	Bolitoglossa lozanoi	Caecilia	Caecilia caribea	Caecilia subnigricans	Caecilia thompsoni	Ceratophrys calcarata	Chiasmocleis panamensis	Colostethus inguinalis	Craugastor fitzingeri	Craugastor longirostris	Craugastor raniformis	Dendrobates truncatus	Dendropsophus ebraccatus	Dendropsophus microcephalus	Dendropsophus phlebodes	Diasporus anthrax	Diasporus gularis	Eleutherodactylus johnstonei	Engystomops pustulosus	Espadarana prosoblepon	Gastrotheca nicefori	Hemiphractus fasciatus	Hyalinobatrachium colymbiphyllum	Hyalinobatrachium fleischmanni	Hyalinobatrachium valerioi	Hyloscirtus palmeri	Hyloxalus vergeli	Hypsiboas albomarginatus	Hypsiboas boans	Hypsiboas crepitans	Hypsiboas pugnax	Hypsiboas subocularis	Leptodactylus colombiensis	Leptodactylus fragilis	Leptodactylus fuscus	Leptodactylus insularum	Leptodactylus poecilochilus	Leptodactylus savagei	Lithobates catesbeianus	Lithobates vaillanti	Nelsonophryne aterrima	Oscaecilia polyzona	Parvicaecilia nicefori	Parvicaecilia pricei	Phyllomedusa venusta	Pleurodema brachyops	Pristimantis gaigeae	Pristimantis taeniatus	Pristimantis viejas	Pseudis paradoxa	Pseudopaludicola pusilla	Relictivomer pearsei	Rhaebo haematiticus	Rheobates palmatus	Rhinella humboldti	Rhinella margaritifera	Rhinella marina	Rulyrana susatamai	Sachatamia punctulata	Scarthyla vigilans	Scinax boulengeri	Scinax elaeochroa	Scinax rostratus	Scinax ruber	Scinax x-signatus	Smilisca phaeota	Smilisca sila	Strabomantis bufoniformis	Trachycephalus typhonius	Typhlonectes natans
Anfibios de Besotes	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Anfibios de Besotes | Anfibios de la Tatacoa	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anfibios de Besotes | Anfibios de la Tatacoa | Fauna de coello	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anfibios de Besotes | Anfibios de la Tatacoa | Fauna de coello | Riomanso	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anfibios de Besotes | Anfibios de la Tatacoa | Fauna de coello | Riomanso | Urrá	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anfibios de Besotes | Anfibios de la Tatacoa | Fauna de coello | Riomanso | Urrá | Serranía de las Quinchas | Valle del Magdalena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anfibios de Besotes | Anfibios de la Tatacoa | Refugio Nechí	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Anfibios de Besotes | Anfibios de la Tatacoa | Riomanso	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Anfibios de Besotes | Anfibios de la Tatacoa | Riomanso | Valle del Magdalena | Refugio Nechí	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anfibios de Besotes | Anfibios de la Tatacoa | Urrá	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
