id	language	institutionID	institutionCode	collectionCode	basisOfRecord	materialSampleID	occurrenceID	catalogNumber	recordNumber	recordedBy	eventDate	habitat	eventRemarks	continent	country	countryCode	stateProvince	county	minimumElevationInMeters	maximumElevationInMeters	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	georeferenceRemarks	scientificName	acceptedNameUsage	nameAccordingTo	kingdom	class	order	family	genus	specificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	taxonomicStatus
IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0001	es	820000142-2	IAvH	IAvH	Observación humana		IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0001	IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0001		Hermes Cuadros	26/09/2013	Bosque Seco Tropical	Cobertura Bosque Secundario 90%, altura emergente 5 m., Cobertura Rastrojo 10%., Caracteristicas del territorio: Terreno pedregoso-rocoso meteorizado. Pendiente 30-40%., Presión dentro del fragmento: Tala selectiva., Presión en la matriz que rodea el fragmento: Tala selectiva, ganadería, cantera, infraestructura humana.	SA	Colombia	CO	Cesar	La Paz	220	220	"10°23'40.9"""	"73°9'27.1"""	grados minutos segundos	WGS84	10.3946944	-73.1575278	3		Bulnesia arborea		Taxonomía y estado taxonómico tomado de http://tnrs.iplantcollaborative.org	Plantae	Equisetopsida	Zygophyllales	Zygophyllaceae	Bulnesia	arborea	Especie		(Jacq.) Engl.	Aceptado
IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0002	es	820000142-2	IAvH	IAvH	Observación humana		IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0002	IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0002		Hermes Cuadros	26/09/2013	Bosque Seco Tropical	Cobertura Bosque Secundario 90%, altura emergente 5 m., Cobertura Rastrojo 10%., Caracteristicas del territorio: Terreno pedregoso-rocoso meteorizado. Pendiente 30-40%., Presión dentro del fragmento: Tala selectiva., Presión en la matriz que rodea el fragmento: Tala selectiva, ganadería, cantera, infraestructura humana.	SA	Colombia	CO	Cesar	La Paz	220	220	"10°23'40.9"""	"73°9'27.1"""	grados minutos segundos	WGS84	10.3946944	-73.1575278	3		Piptadenia flava		Taxonomía y estado taxonómico tomado de http://tnrs.iplantcollaborative.org	Plantae	Equisetopsida	Fabales	Fabaceae	Piptadenia	flava	Especie		(Spreng. ex DC.) Benth.	Aceptado
IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0003	es	820000142-2	IAvH	IAvH	Observación humana		IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0003	IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0003		Hermes Cuadros	26/09/2013	Bosque Seco Tropical	Cobertura Bosque Secundario 90%, altura emergente 5 m., Cobertura Rastrojo 10%., Caracteristicas del territorio: Terreno pedregoso-rocoso meteorizado. Pendiente 30-40%., Presión dentro del fragmento: Tala selectiva., Presión en la matriz que rodea el fragmento: Tala selectiva, ganadería, cantera, infraestructura humana.	SA	Colombia	CO	Cesar	La Paz	220	220	"10°23'40.9"""	"73°9'27.1"""	grados minutos segundos	WGS84	10.3946944	-73.1575278	3		Crateva tapia		Taxonomía y estado taxonómico tomado de http://tnrs.iplantcollaborative.org	Plantae	Equisetopsida	Brassicales	Capparaceae	Crateva	tapia	Especie		L.	Aceptado
IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0004	es	820000142-2	IAvH	IAvH	Observación humana		IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0004	IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0004		Hermes Cuadros	26/09/2013	Bosque Seco Tropical	Cobertura Bosque Secundario 90%, altura emergente 5 m., Cobertura Rastrojo 10%., Caracteristicas del territorio: Terreno pedregoso-rocoso meteorizado. Pendiente 30-40%., Presión dentro del fragmento: Tala selectiva., Presión en la matriz que rodea el fragmento: Tala selectiva, ganadería, cantera, infraestructura humana.	SA	Colombia	CO	Cesar	La Paz	220	220	"10°23'40.9"""	"73°9'27.1"""	grados minutos segundos	WGS84	10.3946944	-73.1575278	3		Astronium graveolens		Taxonomía y estado taxonómico tomado de http://tnrs.iplantcollaborative.org	Plantae	Equisetopsida	Sapindales	Anacardiaceae	Astronium	graveolens	Especie		Jacq.	Aceptado
IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0005	es	820000142-2	IAvH	IAvH	Observación humana		IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0005	IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0005		Hermes Cuadros	26/09/2013	Bosque Seco Tropical	Cobertura Bosque Secundario 90%, altura emergente 5 m., Cobertura Rastrojo 10%., Caracteristicas del territorio: Terreno pedregoso-rocoso meteorizado. Pendiente 30-40%., Presión dentro del fragmento: Tala selectiva., Presión en la matriz que rodea el fragmento: Tala selectiva, ganadería, cantera, infraestructura humana.	SA	Colombia	CO	Cesar	La Paz	220	220	"10°23'40.9"""	"73°9'27.1"""	grados minutos segundos	WGS84	10.3946944	-73.1575278	3		Acanthocereus tetragonus		Taxonomía y estado taxonómico tomado de http://tnrs.iplantcollaborative.org	Plantae	Equisetopsida	Caryophyllales	Cactaceae	Acanthocereus	tetragonus	Especie		(L.) Hummelinck	Aceptado
IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0006	es	820000142-2	IAvH	IAvH	Observación humana		IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0006	IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0006		Hermes Cuadros	26/09/2013	Bosque Seco Tropical	Cobertura Bosque Secundario 90%, altura dosel 3 m., Cobertura Rastrojo 10%., Caracteristicas del territorio: Terreno pedregoso-rocoso meteorizado. Pendiente 30-40%., Presión dentro del fragmento: Tala selectiva., Presión en la matriz que rodea el fragmento: Tala selectiva, ganadería, cantera, infraestructura humana.	SA	Colombia	CO	Cesar	La Paz	220	220	"10°23'40.9"""	"73°9'27.1"""	grados minutos segundos	WGS84	10.3946944	-73.1575278	3		Bulnesia arborea		Taxonomía y estado taxonómico tomado de http://tnrs.iplantcollaborative.org	Plantae	Equisetopsida	Zygophyllales	Zygophyllaceae	Bulnesia	arborea	Especie		(Jacq.) Engl.	Aceptado
IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0007	es	820000142-2	IAvH	IAvH	Observación humana		IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0007	IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0007		Hermes Cuadros	26/09/2013	Bosque Seco Tropical	Cobertura Bosque Secundario 90%, altura dosel 3 m., Cobertura Rastrojo 10%., Caracteristicas del territorio: Terreno pedregoso-rocoso meteorizado. Pendiente 30-40%., Presión dentro del fragmento: Tala selectiva., Presión en la matriz que rodea el fragmento: Tala selectiva, ganadería, cantera, infraestructura humana.	SA	Colombia	CO	Cesar	La Paz	220	220	"10°23'40.9"""	"73°9'27.1"""	grados minutos segundos	WGS84	10.3946944	-73.1575278	3		Astronium graveolens		Taxonomía y estado taxonómico tomado de http://tnrs.iplantcollaborative.org	Plantae	Equisetopsida	Sapindales	Anacardiaceae	Astronium	graveolens	Especie		Jacq.	Aceptado
IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0008	es	820000142-2	IAvH	IAvH	Observación humana		IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0008	IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0008		Hermes Cuadros	26/09/2013	Bosque Seco Tropical	Cobertura Bosque Secundario 90%, altura dosel 3 m., Cobertura Rastrojo 10%., Caracteristicas del territorio: Terreno pedregoso-rocoso meteorizado. Pendiente 30-40%., Presión dentro del fragmento: Tala selectiva., Presión en la matriz que rodea el fragmento: Tala selectiva, ganadería, cantera, infraestructura humana.	SA	Colombia	CO	Cesar	La Paz	220	220	"10°23'40.9"""	"73°9'27.1"""	grados minutos segundos	WGS84	10.3946944	-73.1575278	3		Handroanthus billbergii		Taxonomía y estado taxonómico tomado de http://tnrs.iplantcollaborative.org	Plantae	Equisetopsida	Lamiales	Bignoniaceae	Handroanthus	billbergii	Especie		(Bureau & K. Schum.) S. O. Grose	Aceptado
IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0009	es	820000142-2	IAvH	IAvH	Observación humana		IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0009	IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0009		Hermes Cuadros	26/09/2013	Bosque Seco Tropical	Cobertura Bosque Secundario 90%, altura dosel 3 m., Cobertura Rastrojo 10%., Caracteristicas del territorio: Terreno pedregoso-rocoso meteorizado. Pendiente 30-40%., Presión dentro del fragmento: Tala selectiva., Presión en la matriz que rodea el fragmento: Tala selectiva, ganadería, cantera, infraestructura humana.	SA	Colombia	CO	Cesar	La Paz	220	220	"10°23'40.9"""	"73°9'27.1"""	grados minutos segundos	WGS84	10.3946944	-73.1575278	3		Haematoxylum brasiletto		Taxonomía y estado taxonómico tomado de http://tnrs.iplantcollaborative.org	Plantae	Equisetopsida	Fabales	Fabaceae	Haematoxylum	brasiletto	Especie		H. Karst.	Aceptado
IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0010	es	820000142-2	IAvH	IAvH	Observación humana		IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0010	IAvH:BICUB:CARIBE:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2013_IN020:0010		Hermes Cuadros	26/09/2013	Bosque Seco Tropical	Cobertura Bosque Secundario 90%, altura dosel 3 m., Cobertura Rastrojo 10%., Caracteristicas del territorio: Terreno pedregoso-rocoso meteorizado. Pendiente 30-40%., Presión dentro del fragmento: Tala selectiva., Presión en la matriz que rodea el fragmento: Tala selectiva, ganadería, cantera, infraestructura humana.	SA	Colombia	CO	Cesar	La Paz	220	220	"10°23'40.9"""	"73°9'27.1"""	grados minutos segundos	WGS84	10.3946944	-73.1575278	3		Piptadenia flava		Taxonomía y estado taxonómico tomado de http://tnrs.iplantcollaborative.org	Plantae	Equisetopsida	Fabales	Fabaceae	Piptadenia	flava	Especie		(Spreng. ex DC.) Benth.	Aceptado
