	Acacia farnesiana	Acacia mangium	Acacia polyphylla	Acanthocereus tetragonus	Achatocarpus nigricans	Acrocomia aculeata	Albizia niopoides	Ampelocera macphersonii	Amyris pinnata	Anacardium excelsum	Andira	Annona edulis	Annona glabra	Annona reticulata	Aphelandra pulcherrima	Aralia excelsa	Ardisia guianensis	Aspidosperma cuspa	Aspidosperma polyneuron	Astronium fraxinifolium	Astronium graveolens	Attalea butyracea	Bactris guineensis	Bactris macana	Bactris major	Bactris minor	Bambusa vulgaris	Bauhinia aculeata	Bauhinia glabra	Belencita nemorosa	Bourreria cumanensis	Bravaisia integerrima	Bromelia pinguin	Brosimum alicastrum	Bulnesia arborea	Bunchosia	Bunchosia odorata	Bursera glabra	Bursera graveolens	Bursera simaruba	Caesalpinia coriaria	Caesalpinia granadillo	Calliandra magdalenae	Calycophyllum candidissimum	Capparidastrum frondosum	Capparis baducca	Capparis flexuosa	Capparis hastata	Capparis indica	Capparis linearis	Capparis odoratissima	Capparis pachaca	Capparis verrucosa   	Carludovica palmata	Casearia arborea	Casearia corymbosa	Casearia praecox	Castela erecta	Cavanillesia platanifolia	Cecropia peltata	Cedrela odorata	Ceiba pentandra	Celtis iguanaea	Centrolobium paraense	Cestrum alternifolium	Chiococca alba	Chloroleucon mangense	Chomelia spinosa	Cleome speciosa	Cnidoscolus urens	Coccoloba coronata	Coccoloba obovata	Coccoloba obtusifolia	Coccoloba padiformis	Cochlospermum vitifolium	Cocos nucifera	Combretum fruticosum	Copernicia tectorum	Cordia	Cordia alliodora	Cordia bicolor	Cordia dentata	Cordia macuirensis	Coutarea hexandra	Crateva tapia	Croton malambo	Croton niveus	Croton punctatus	Cupania americana	Curatella americana	Diphysa carthagenensis	Elaeis oleifera	Entada polystachya	Enterolobium cyclocarpum	Erythrina velutina	Erythroxylum havanense	Erythroxylum hondense	Eugenia procera	Eugenia schomburgkii	Euphorbia cotinifolia	Ficus dendrocida	Ficus insipida	Ficus lyrata	Ficus pandurata	Fridericia mollissima	Genipa americana	Gmelina	Guapira	Guapira pacurero	Guapira uberrima	Guarea trichilioides	Guazuma ulmifolia	Gurania	Gustavia superba	Gynerium sagittatum	Gyrocarpus americanus	Haematoxylum brasiletto	Hamelia patens	Handroanthus	Handroanthus billbergii	Handroanthus chrysanthus	Handroanthus coralibe	Handroanthus impetiginosus	Heliconia latispatha	Helicteres baruensis	Hieronyma alchorneoides	Hippocratea volubilis	Hura crepitans	Hybanthus prunifolius	Hymenaea courbaril	Inga edulis	Ipomoea pes-caprae	Jatropha gossypiifolia	Lacistema aggregatum	Lafoensia punicifolia	Lecythis minor	Leucaena glauca	Libidibia coriaria	Libidibia ebano	Licania apetala	Lonchocarpus	Lonchocarpus punctatus	Lonchocarpus sanctae-marthae	Luehea candida	Luehea speciosa	Lycium tweedianum	Machaerium	Machaerium arboreum	Machaerium biovulatum	Machaerium capote	Maclura tinctoria	Malpighia glabra	Malpighia punicifolia	Mangifera indica	Manihot carthagenensis	Melicoccus bijugatus	Melicoccus oliviformis	Melocactus curvispinus	Mentzelia scabra	Morisonia americana	Muntingia calabura	Musa paradisiaca	Myrcia ovalifolia   	Myrcia splendens	Myrcianthes leucoxyla	Nectandra turbacensis	Neea amplifolia	Neea nigricans	Ochroma pyramidale	Opuntia caracassana	Pachira quinata	Panicum maximum	Parinari pachyphylla	Paspalum virgatum	Peltogyne purpurea	Pereskia guamacho	Phyllanthus salviifolius	Phyllostylon brasiliense	Phyllostylon rhamnoides	Piper aduncum	Piper marginatum	Piptadenia communis	Piptadenia flava	Piptadenia gonoacantha	Pithecellobium dulce	Pithecellobium forfex	Pithecellobium lanceolatum	Pithecellobium roseum	Platymiscium pinnatum	Platypodium elegans	Plumeria alba	Pogonopus speciosus	Pradosia colombiana	Prosopis juliflora	Pseudobombax maximum	Pseudobombax septenatum	Psychotria carthagenensis	Pterocarpus acapulcensis	Pterocarpus officinalis	Pterocarpus rohrii	Quassia amara	Randia aculeata	Randia formosa	Randia obcordata	Rhamnus goudotiana	Ruagea glabra	Ruprechtia ramiflora	Sabal mauritiiformis	Samanea saman	Sapindus saponaria	Schizolobium parahyba	Seguieria americana	Senna atomaria	Senna bicapsularis	Senna fruticosa	Simira cesariana	Spondias mombin	Stenocereus griseus	Sterculia apetala	Swietenia macrophylla	Tabebuia rosea	Tabernaemontana amygdalifolia	Tabernaemontana cymosa	Tabernaemontana grandiflora	Talisia oliviformis	Tecoma stans	Tectona grandis	Tephrosia	Thevetia ahouai	Triplaris americana	Trophis racemosa	Typha domingensis	Urera baccifera	Urochloa decumbens	Vitex compressa	Vitex cymosa	Xylosma spiculifera	Zanthoxylum caribaeum	Zapoteca formosa	Zea mays	Ziziphus mauritiana
Algarrobo	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Barrancas	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bosconia	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0
Cienaga	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Dibulla	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0
El Carmen de Boli�var	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
El Copey	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Juan de Acosta	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
La Paz	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Luruaco	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
