	 Ruprechtia ramiflora	Acacia farnesiana	Acalypha diversifolia	Acalypha macrostachya	Annona cherimola	Annona rensoniana	Anthurium pentaphyllum	Aspidosperma cuspa	Bauhinia picta	Bejaria aestuans	Bignonia diversifolia	Byrsonima crassifolia	Calliandra houstoniana	Calliandra pittieri	Calliandra purdiaei	Casearia  grandiflora	Casearia  sylvestris	Cleome viridiflora	Clusia minor	Clusia rosea	Condaminea corymbosa	Cordia bicolor	Cosmibuena grandiflora	Croton	Croton argenteus	Croton hibiscifolius	Davilla rugosa	Dioclea	Ditassa longiloba	Erythroxylum  oxycarpum	Ficus	Gouania polygama	Guapira costaricana	Guarea guidonia	Guatteria cargadero	Guazuma ulmifolia	Habenaria monorrhiza	Helicteres guazumifolia	Hieronyma fendleri	Lonchocarpus velutinus	Luehea speciosa	Lundia corymbifera	Machaerium macrophyllum	Machaerium microphyllum	Maclura tinctoria	Melochia tomentosa	Merremia umbellata	Miconia	Miconia minutiflora	Miconia rufescens	Miconia trinervia	Mimosa	Mimosa pigra	Mucuna sloanei	Muntingia calabura	Myrcia	Myrsine pellucida	Nectandra acutifolia	Nectandra cuspidata	Ochoterenaea colombiana	Ocotea guianensis	Palicourea rigida	Parkinsonia aculeata	Passiflora seemannii	Passiflora smithii	Paullinia	Paullinia nobilis	Paullinia pterocarpa	Peperomia	Petrea volubilis	Piper	Piper aduncum	Piper hispidum	Platymiscium pinnatum	Plumeria pudica	Preslianthus pittieri	Prosopis juliflora	Psidium	Psidium cattleyanum	Psidium guineense	Quadrella odoratissima	Securidaca diversifolia	Securidaca paniculata	Senegalia multipinnata	Senna	Senna bacillaris	Senna hirsuta	Solanum	Tabebuia rosea	Tessaria integrifolia	Tibouchina lindeniana	Viburnum cornifolium	Vismia baccifera	Wigandia urens	Witheringia solanacea	Xylopia aromatica	Xylopia ligustrifolia	Zamia muricata	Zanthoxylum rhoifolium
Abrego	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Bucaramanga	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
Cachira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carmen de Tonchala	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Charta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chinacota	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Convencion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cucuta	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Durania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Floridablanca	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
