"","Estacion","State","AsocPlot","Species","Trans","Perm","Number"
"1","Censo","Cesar","T2P3","Acromyrmex","Med","Fire",1
"2","Recenso","Cesar","T2P3","Brachymyrmex heeri","Med","Fire",8
"3","Censo","Cesar","T2P3","Camponotus coruscus","Med","Fire",1
"4","Recenso","Cesar","T2P3","Crematogaster","Med","Fire",1
"5","Censo","Cesar","T2P3","Cyphomyrmex","Med","Fire",2
"6","Recenso","Cesar","T2P3","Cyphomyrmex rimosus","Med","Fire",4
"7","Censo","Cesar","T2P3","Ectatomma ruidum","Med","Fire",15
"8","Recenso","Cesar","T2P3","Ectatomma ruidum","Med","Fire",133
"9","Censo","Cesar","T2P3","Forelius damiani","Med","Fire",1
"10","Censo","Cesar","T2P3","Gnamptogenys hartmanni","Med","Fire",1
"11","Recenso","Cesar","T2P3","Hypoponera opacior","Med","Fire",6
"12","Recenso","Cesar","T2P3","Linepithema neotropicum","Med","Fire",1
"13","Recenso","Cesar","T2P3","Monomorium floricola","Med","Fire",1
"14","Censo","Cesar","T2P3","Octostruma amrishi","Med","Fire",1
"15","Recenso","Cesar","T2P3","Odontomachus bauri","Med","Fire",6
"16","Recenso","Cesar","T2P3","Pachycondyla harpax","Med","Fire",1
"17","Recenso","Cesar","T2P3","Pheidole","Med","Fire",17
"18","Censo","Cesar","T2P3","Pheidole scalaris","Med","Fire",9
"19","Censo","Cesar","T2P3","Rogeria curvipubens","Med","Fire",1
"20","Recenso","Cesar","T2P3","Rogeria curvipubens","Med","Fire",1
"21","Recenso","Cesar","T2P3","Rogeria foreli","Med","Fire",1
"22","Recenso","Cesar","T2P3","Solenopsis","Med","Fire",17
"23","Censo","Cesar","T2P3","Solenopsis altinodis","Med","Fire",1
"24","Censo","Cesar","T2P3","Solenopsis geminata","Med","Fire",7
"25","Censo","Cesar","T2P3","Solenopsis pollux","Med","Fire",1
"26","Censo","Cesar","T2P3","Solenopsis subterrranea","Med","Fire",4
"27","Recenso","Cesar","T2P3","Strumigenys deltisquama","Med","Fire",15
"28","Recenso","Cesar","T2P3","Strumigenys elongata","Med","Fire",1
"29","Recenso","Cesar","T2P3","Strumigenys gundlachi","Med","Fire",2
"30","Recenso","Cesar","T2P3","Strumigenys marginiventris","Med","Fire",4
"31","Censo","Cesar","T2P3","Trachymyrmex bugnioni","Med","Fire",1
"32","Recenso","Cesar","T2P3","Trachymyrmex bugnioni","Med","Fire",1
"33","Censo","Cesar","T2P3","Trachymyrmex cornetzi","Med","Fire",4
"34","Recenso","Cesar","T2P3","Trachymyrmex cornetzi","Med","Fire",2
"35","Censo","Cesar","T2P3","Wasmannia auropunctata","Med","Fire",5
"36","Recenso","Cesar","T2P3","Wasmannia auropunctata","Med","Fire",40
"37","Recenso","Valle","T1P2","Acromyrmex octospinosus","High","High",1
"38","Censo","Guajira","T3P3","Acropyga smithi","High","High",9
"39","recenso","Guajira","T3P3","Acropyga smithi","High","High",2
"40","Censo","Valle","T1P2","Anochetus diegensis","High","High",6
"41","Recenso","Valle","T1P2","Anochetus diegensis","High","High",3
"42","Recenso","Valle","T2P2","Anochetus diegensis","High","High",1
"43","Censo","Valle","T3P2","Anochetus diegensis","High","High",1
"44","Censo","Guajira","T3P3","Anochetus diegensis","High","High",3
"45","recenso","Guajira","T3P3","Anochetus diegensis","High","High",2
"46","Censo","Valle","T1P2","Anochetus mayri","High","High",1
"47","Recenso","Valle","T1P2","Anochetus mayri","High","High",1
"48","Recenso","Valle","T3P2","Anochetus mayri","High","High",1
"49","Recenso","Huila","T3P3","Anochetus simoni","High","High",5
"50","Recenso","Bolivar","T3P1","Apterostigma dentigerum","High","High",1
"51","Censo","Valle","T3P2","Atta cephalotes","High","High",1
"52","Recenso","Huila","T3P3","Azteca alfari","High","High",1
"53","Censo","Valle","T3P2","Azteca schumanni","High","High",1
"54","Censo","Valle","T1P2","Brachymyrmex heeri","High","High",17
"55","Recenso","Valle","T1P2","Brachymyrmex heeri","High","High",3
"56","Censo","Valle","T2P2","Brachymyrmex heeri","High","High",1
"57","Recenso","Bolivar","T3P1","Brachymyrmex heeri","High","High",1
"58","Censo","Valle","T3P2","Brachymyrmex heeri","High","High",1
"59","Recenso","Valle","T3P2","Brachymyrmex heeri","High","High",5
"60","Censo","Huila","T3P3","Brachymyrmex heeri","High","High",68
"61","Recenso","Huila","T3P3","Brachymyrmex heeri","High","High",5
"62","Censo","Huila","T3P3","Brachymyrmex incisus","High","High",8
"63","Censo","Valle","T3P2","Camponotus brevis","High","High",2
"64","Recenso","Huila","T3P3","Camponotus brevis","High","High",1
"65","Censo","Guajira","T3P3","Camponotus claviscapus","High","High",1
"66","Censo","Huila","T3P3","Camponotus coruscus","High","High",2
"67","Recenso","Huila","T3P3","Camponotus coruscus","High","High",1
"68","Censo","Bolivar","T3P1","Camponotus fastigatus","High","High",1
