"","Estacion","State","Species","Trans","Number"
"1","Censo","Huila","Acromyrmex nobilis","High",3
"2","Censo","Huila","Acromyrmex octospinosus","High",1
"3","Censo","Tolima","Acromyrmex octospinosus","High",1
"4","Censo","Valle","Acromyrmex octospinosus","High",2
"5","Recenso","Valle","Acromyrmex octospinosus","High",1
"6","Recenso","Valle","Acropyga fuhrmanni","High",10
"7","Censo","Guajira","Acropyga smithi","High",9
"8","recenso","Guajira","Acropyga smithi","High",2
"9","Censo","Guajira","Anochetus diegensis","High",9
"10","recenso","Guajira","Anochetus diegensis","High",7
"11","Censo","Valle","Anochetus diegensis","High",22
"12","Recenso","Valle","Anochetus diegensis","High",9
"13","Censo","Bolivar","Anochetus emarginatus","High",1
"14","Censo","Bolivar","Anochetus inermis","High",1
"15","Censo","Guajira","Anochetus mayri","High",1
"16","Censo","Valle","Anochetus mayri","High",7
"17","Recenso","Valle","Anochetus mayri","High",4
"18","Recenso","Huila","Anochetus simoni","High",5
"19","Censo","Bolivar","Apterostigma dentigerum","High",3
"20","Recenso","Bolivar","Apterostigma dentigerum","High",1
"21","Censo","Bolivar","Apterostigma pilosum","High",1
"22","Censo","Guajira","Apterostigma pilosum","High",1
"23","recenso","Guajira","Atta cephalotes","High",1
"24","Censo","Huila","Atta cephalotes","High",3
"25","Censo","Valle","Atta cephalotes","High",26
"26","Recenso","Valle","Atta cephalotes","High",18
"27","Censo","Bolivar","Atta colombica","High",1
"28","Recenso","Bolivar","Atta colombica","High",3
"29","Censo","Tolima","Atta colombica","High",1
"30","Recenso","Tolima","Atta colombica","High",2
"31","Recenso","Valle","Atta colombica","High",1
"32","Recenso","Huila","Azteca alfari","High",1
"33","Censo","Valle","Azteca schumanni","High",1
"34","Recenso","Valle","Azteca schumanni","High",1
"35","Censo","Bolivar","Azteca velox","High",1
"36","Recenso","Bolivar","Brachymyrmex heeri","High",12
"37","Censo","Huila","Brachymyrmex heeri","High",70
"38","Recenso","Huila","Brachymyrmex heeri","High",9
"39","Recenso","Tolima","Brachymyrmex heeri","High",19
"40","Censo","Valle","Brachymyrmex heeri","High",51
"41","Recenso","Valle","Brachymyrmex heeri","High",20
"42","Recenso","Bolivar","Brachymyrmex incisus","High",2
"43","Censo","Huila","Brachymyrmex incisus","High",8
"44","Censo","Bolivar","Camponotus","High",1
"45","Censo","Bolivar","Camponotus bidens","High",1
"46","Censo","Bolivar","Camponotus brevis","High",1
"47","Censo","Huila","Camponotus brevis","High",1
"48","Recenso","Huila","Camponotus brevis","High",2
"49","Censo","Valle","Camponotus brevis","High",2
"50","Censo","Guajira","Camponotus claviscapus","High",1
"51","Censo","Bolivar","Camponotus coruscus","High",2
"52","Censo","Huila","Camponotus coruscus","High",3
"53","Recenso","Huila","Camponotus coruscus","High",3
"54","Censo","Bolivar","Camponotus fastigatus","High",1
"55","recenso","Guajira","Camponotus planatus","High",1
