"","Proyecto","Estacion","Departamento","CodPuntoConteo","Familia","Especie","PlotAsoc","Trans_c","Perm_c","individuos"
"1","GEF","Lluviosa","Cesar","L_C_MA_4","Trochilidae","Amazilia saucerottei","T2P3","Medium","Fire",1
"2","GEF","Lluviosa","Cesar","L_C_MA_1","Trochilidae","Amazilia tzacatl","T2P3","Medium","Fire",1
"3","GEF","Seca","Cesar","S_C_MA_35","Emberizidae","Arremon schlegeli","T2P3","Medium","Fire",2
"4","GEF","Seca","Cesar","S_C_MA_37","Emberizidae","Arremonops conirostris","T2P3","Medium","Fire",1
"5","GEF","Lluviosa","Cesar","L_C_MA_1","Tyrannidae","Atalotriccus pilaris","T2P3","Medium","Fire",1
"6","GEF","Lluviosa","Cesar","L_C_MA_2","Tyrannidae","Atalotriccus pilaris","T2P3","Medium","Fire",1
"7","GEF","Lluviosa","Cesar","L_C_MA_5","Tyrannidae","Atalotriccus pilaris","T2P3","Medium","Fire",1
"8","GEF","Lluviosa","Cesar","L_C_MA_6","Tyrannidae","Atalotriccus pilaris","T2P3","Medium","Fire",2
"9","GEF","Lluviosa","Cesar","L_C_MA_7","Tyrannidae","Atalotriccus pilaris","T2P3","Medium","Fire",2
"10","GEF","Seca","Cesar","S_C_MA_33","Tyrannidae","Atalotriccus pilaris","T2P3","Medium","Fire",2
"11","GEF","Seca","Cesar","S_C_MA_36","Tyrannidae","Atalotriccus pilaris","T2P3","Medium","Fire",2
"12","GEF","Seca","Cesar","S_C_MA_38","Tyrannidae","Atalotriccus pilaris","T2P3","Medium","Fire",3
"13","GEF","Seca","Cesar","S_C_MA_39","Tyrannidae","Atalotriccus pilaris","T2P3","Medium","Fire",1
"14","GEF","Lluviosa","Cesar","L_C_MA_1","Parulidae","Basileuterus rufifrons","T2P3","Medium","Fire",1
"15","GEF","Lluviosa","Cesar","L_C_MA_3","Parulidae","Basileuterus rufifrons","T2P3","Medium","Fire",2
"16","GEF","Lluviosa","Cesar","L_C_MA_4","Parulidae","Basileuterus rufifrons","T2P3","Medium","Fire",2
"17","GEF","Lluviosa","Cesar","L_C_MA_5","Parulidae","Basileuterus rufifrons","T2P3","Medium","Fire",2
"18","GEF","Lluviosa","Cesar","L_C_MA_6","Parulidae","Basileuterus rufifrons","T2P3","Medium","Fire",2
"19","GEF","Lluviosa","Cesar","L_C_MA_7","Parulidae","Basileuterus rufifrons","T2P3","Medium","Fire",2
"20","GEF","Seca","Cesar","S_C_MA_34","Parulidae","Basileuterus rufifrons","T2P3","Medium","Fire",2
"21","GEF","Seca","Cesar","S_C_MA_35","Parulidae","Basileuterus rufifrons","T2P3","Medium","Fire",2
"22","GEF","Lluviosa","Cesar","L_C_MA_6","Accipitridae","Busarellus nigricollis ","T2P3","Medium","Fire",1
"23","GEF","Seca","Cesar","S_C_MA_38","Accipitridae","Buteo nitidus","T2P3","Medium","Fire",2
"24","GEF","Lluviosa","Cesar","L_C_MA_2","Icteridae","Cacicus cela","T2P3","Medium","Fire",2
"25","GEF","Lluviosa","Cesar","L_C_MA_7","Icteridae","Cacicus cela","T2P3","Medium","Fire",1
"26","GEF","Lluviosa","Cesar","L_C_MA_5","Picidae","Campephilus melanoleucos","T2P3","Medium","Fire",1
"27","GEF","Lluviosa","Cesar","L_C_MA_1","Troglodytidae","Campylorhynchus griseus","T2P3","Medium","Fire",2
"28","GEF","Lluviosa","Cesar","L_C_MA_2","Troglodytidae","Campylorhynchus griseus","T2P3","Medium","Fire",2
"29","GEF","Seca","Cesar","S_C_MA_32","Troglodytidae","Campylorhynchus griseus","T2P3","Medium","Fire",2
"30","GEF","Seca","Cesar","S_C_MA_33","Troglodytidae","Campylorhynchus griseus","T2P3","Medium","Fire",1
"31","GEF","Seca","Cesar","S_C_MA_39","Troglodytidae","Campylorhynchus griseus","T2P3","Medium","Fire",1
"32","GEF","Lluviosa","Cesar","L_C_MA_2","Troglodytidae","Cantorchilus leucotis","T2P3","Medium","Fire",2
"33","GEF","Seca","Cesar","S_C_MA_32","Troglodytidae","Cantorchilus leucotis","T2P3","Medium","Fire",2
"34","GEF","Seca","Cesar","S_C_MA_33","Troglodytidae","Cantorchilus leucotis","T2P3","Medium","Fire",1
"35","GEF","Lluviosa","Cesar","L_C_MA_3","Tyrannidae","Capsiempis flaveola","T2P3","Medium","Fire",1
"36","GEF","Seca","Cesar","S_C_MA_36","Turdidae","Catharus ustulatus","T2P3","Medium","Fire",1
"37","GEF","Seca","Cesar","S_C_MA_37","Turdidae","Catharus ustulatus","T2P3","Medium","Fire",1
"38","GEF","Lluviosa","Cesar","L_C_MA_1","Trochilidae","Chalybura buffonii","T2P3","Medium","Fire",1
"39","GEF","Lluviosa","Cesar","L_C_MA_3","Trochilidae","Chalybura buffonii","T2P3","Medium","Fire",1
"40","GEF","Seca","Cesar","S_C_MA_34","Trochilidae","Chalybura buffonii","T2P3","Medium","Fire",1
"41","GEF","Seca","Cesar","S_C_MA_35","Trochilidae","Chalybura buffonii","T2P3","Medium","Fire",1
"42","GEF","Seca","Cesar","S_C_MA_38","Trochilidae","Chalybura buffonii","T2P3","Medium","Fire",1
"43","GEF","Lluviosa","Cesar","L_C_MA_3","Pipridae","Chiroxiphia lanceolata","T2P3","Medium","Fire",2
