"","Departamento","Estacion","Familia","Especie","PlotAsoc","Trans_c","individuos"
"1","Valle del Cauca","Seca","Trochilidae","Amazilia saucerottei","T1P1","High",6
"2","Tolima","Lluviosa","Trochilidae","Amazilia tzacatl","T1P1","High",1
"3","Valle del Cauca","Lluviosa","Trochilidae","Amazilia tzacatl","T1P1","High",3
"4","Tolima","Lluviosa","Rallidae","Aramides cajaneus","T1P1","High",2
"5","Tolima","Seca","Ardeidae","Ardea alba","T1P1","High",11
"6","Tolima","Lluviosa","Emberizidae","Arremonops conirostris","T1P1","High",2
"7","Tolima","Lluviosa","Tyrannidae","Atalotriccus pilaris","T1P1","High",1
"8","Tolima","Seca","Tyrannidae","Atalotriccus pilaris","T1P1","High",3
"9","Tolima","Lluviosa","Parulidae","Basileuterus rufifrons","T1P1","High",3
"10","Valle del Cauca","Lluviosa","Parulidae","Basileuterus rufifrons","T1P1","High",5
"11","Tolima","Seca","Parulidae","Basileuterus rufifrons","T1P1","High",1
"12","Valle del Cauca","Seca","Parulidae","Basileuterus rufifrons","T1P1","High",5
"13","Valle del Cauca","Seca","Ardeidae","Bubulcus ibis","T1P1","High",5
"14","Tolima","Seca","Accipitridae","Busarellus nigricollis ","T1P1","High",3
"15","Tolima","Seca","Accipitridae","Buteo nitidus","T1P1","High",1
"16","Valle del Cauca","Seca","Picidae","Campephilus melanoleucos","T1P1","High",1
"17","Valle del Cauca","Lluviosa","Tyrannidae","Camptostoma obsoletum","T1P1","High",2
"18","Tolima","Seca","Tyrannidae","Camptostoma obsoletum","T1P1","High",2
"19","Tolima","Lluviosa","Troglodytidae","Cantorchilus leucotis","T1P1","High",1
"20","Tolima","Seca","Troglodytidae","Cantorchilus leucotis","T1P1","High",6
"21","Tolima","Lluviosa","Turdidae","Catharus ustulatus","T1P1","High",1
"22","Valle del Cauca","Lluviosa","Turdidae","Catharus ustulatus","T1P1","High",1
"23","Tolima","Seca","Turdidae","Catharus ustulatus","T1P1","High",1
"24","Tolima","Seca","Furnariidae","Certhiaxis cinnamomeus","T1P1","High",1
"25","Tolima","Lluviosa","Alcedinidae","Chloroceryle americana","T1P1","High",1
"26","Valle del Cauca","Seca","Thraupidae","Chlorophanes spiza","T1P1","High",1
"27","Tolima","Lluviosa","Icteridae","Chrysomus icterocephalus","T1P1","High",2
"28","Tolima","Seca","Icteridae","Chrysomus icterocephalus","T1P1","High",1
"29","Tolima","Lluviosa","Tyrannidae","Cnemotriccus fuscatus","T1P1","High",2
"30","Tolima","Seca","Tyrannidae","Cnemotriccus fuscatus","T1P1","High",1
"31","Tolima","Lluviosa","Cuculidae","Coccyzus americanus","T1P1","High",1
"32","Tolima","Lluviosa","Thraupidae","Coereba flaveola","T1P1","High",2
"33","Valle del Cauca","Lluviosa","Thraupidae","Coereba flaveola","T1P1","High",2
"34","Tolima","Seca","Thraupidae","Coereba flaveola","T1P1","High",2
"35","Tolima","Lluviosa","Odontophoridae","Colinus cristatus","T1P1","High",1
"36","Tolima","Lluviosa","Columbidae","Columbina minuta","T1P1","High",5
"37","Tolima","Seca","Columbidae","Columbina minuta","T1P1","High",3
"38","Tolima","Lluviosa","Columbidae","Columbina talpacoti","T1P1","High",7
"39","Tolima","Seca","Columbidae","Columbina talpacoti","T1P1","High",6
"40","Tolima","Lluviosa","Tyrannidae","Contopus virens","T1P1","High",2
"41","Tolima","Seca","Tyrannidae","Contopus virens","T1P1","High",2
"42","Tolima","Lluviosa","Cuculidae","Crotophaga ani","T1P1","High",4
"43","Tolima","Seca","Cuculidae","Crotophaga ani","T1P1","High",4
"44","Tolima","Lluviosa","Cuculidae","Crotophaga major","T1P1","High",3
"45","Tolima","Seca","Cuculidae","Crotophaga major","T1P1","High",20
"46","Tolima","Seca","Corvidae","Cyanocorax affinis","T1P1","High",3
"47","Tolima","Seca","Vireonidae","Cyclarhis gujanensis","T1P1","High",7
"48","Tolima","Seca","Furnariidae","Dendrocincla fuliginosa","T1P1","High",1
"49","Tolima","Lluviosa","Anatidae","Dendrocygna autumnalis","T1P1","High",9
"50","Tolima","Seca","Anatidae","Dendrocygna autumnalis","T1P1","High",3
"51","Tolima","Seca","Furnariidae","Dendroplex picus","T1P1","High",4
"52","Tolima","Lluviosa","Picidae","Dryocopus lineatus","T1P1","High",2
"53","Tolima","Seca","Picidae","Dryocopus lineatus","T1P1","High",2
"54","Tolima","Lluviosa","Tyrannidae","Elaenia flavogaster","T1P1","High",2
"55","Valle del Cauca","Lluviosa","Tyrannidae","Elaenia flavogaster","T1P1","High",4
"56","Tolima","Seca","Tyrannidae","Elaenia flavogaster","T1P1","High",6
"57","Valle del Cauca","Seca","Tyrannidae","Elaenia flavogaster","T1P1","High",3
"58","Tolima","Seca","Tyrannidae","Empidonax traillii","T1P1","High",3
"59","Tolima","Seca","Thraupidae","Euphonia concinna","T1P1","High",4
"60","Tolima","Lluviosa","Thraupidae","Euphonia laniirostris","T1P1","High",1
"61","Valle del Cauca","Lluviosa","Thraupidae","Euphonia laniirostris","T1P1","High",3
"62","Tolima","Seca","Thraupidae","Euphonia laniirostris","T1P1","High",11
"63","Tolima","Lluviosa","Tyrannidae","Euscarthmus meloryphus","T1P1","High",1
"64","Tolima","Seca","Tyrannidae","Euscarthmus meloryphus","T1P1","High",1
"65","Tolima","Lluviosa","Thamnophilidae","Formicivora intermedia","T1P1","High",1
"66","Tolima","Seca","Thamnophilidae","Formicivora intermedia","T1P1","High",1
"67","Tolima","Lluviosa","Psittacidae","Forpus conspicillatus","T1P1","High",2
"68","Tolima","Seca","Psittacidae","Forpus conspicillatus","T1P1","High",7
"69","Tolima","Lluviosa","Galbulidae","Galbula ruficauda","T1P1","High",2
"70","Tolima","Seca","Galbulidae","Galbula ruficauda","T1P1","High",3
"71","Valle del Cauca","Lluviosa","Trochilidae","Glaucis hirsutus","T1P1","High",2
"72","Valle del Cauca","Seca","Troglodytidae","Henicorhina leucosticta","T1P1","High",2
"73","Tolima","Lluviosa","Vireonidae","Hylophilus flavipes","T1P1","High",10
"74","Tolima","Seca","Vireonidae","Hylophilus flavipes","T1P1","High",6
"75","Valle del Cauca","Lluviosa","Icteridae","Icterus chrysater","T1P1","High",2
"76","Valle del Cauca","Seca","Icteridae","Icterus chrysater","T1P1","High",1
"77","Tolima","Seca","Falconidae","Ictinia plumbea","T1P1","High",3
"78","Tolima","Seca","Rallidae","Jacana jacana","T1P1","High",3
"79","Tolima","Seca","Rallidae","Laterallus albigularis","T1P1","High",1
"80","Tolima","Lluviosa","Tyrannidae","Legatus leucophaius","T1P1","High",3
"81","Tolima","Seca","Tyrannidae","Legatus leucophaius","T1P1","High",1
"82","Tolima","Lluviosa","Furnariidae","Lepidocolaptes souleyetii","T1P1","High",2
"83","Tolima","Seca","Tyrannidae","Leptopogon amaurocephalus","T1P1","High",1
"84","Valle del Cauca","Lluviosa","Columbidae","Leptotila verreauxi","T1P1","High",1
"85","Tolima","Seca","Columbidae","Leptotila verreauxi","T1P1","High",5
"86","Tolima","Seca","Accipitridae","Leucopternis semiplumbeus","T1P1","High",1
"87","Tolima","Seca","Tyrannidae","Machetornis rixosa","T1P1","High",2
"88","Tolima","Lluviosa","Tyrannidae","Megarynchus pitangua","T1P1","High",3
"89","Tolima","Seca","Tyrannidae","Megarynchus pitangua","T1P1","High",3
"90","Tolima","Seca","Picidae","Melanerpes rubricapillus","T1P1","High",2
"91","Tolima","Seca","Threskiornithidae ","Mesembrinibis cayennensis","T1P1","High",1
"92","Tolima","Lluviosa","Falconidae","Milvago chimachima","T1P1","High",5
"93","Valle del Cauca","Lluviosa","Falconidae","Milvago chimachima","T1P1","High",1
"94","Tolima","Seca","Falconidae","Milvago chimachima","T1P1","High",3
"95","Tolima","Seca","Mimidae","Mimus gilvus","T1P1","High",6
"96","Valle del Cauca","Lluviosa","Momotidae","Momotus momota","T1P1","High",2
"97","Valle del Cauca","Seca","Momotidae","Momotus momota","T1P1","High",1
"98","Tolima","Lluviosa","Tyrannidae","Myiarchus apicalis","T1P1","High",2
"99","Valle del Cauca","Lluviosa","Tyrannidae","Myiarchus apicalis","T1P1","High",3
"100","Tolima","Seca","Tyrannidae","Myiarchus apicalis","T1P1","High",1
"101","Tolima","Seca","Tyrannidae","Myiarchus panamensis","T1P1","High",1
"102","Tolima","Seca","Tyrannidae","Myiarchus tuberculifer","T1P1","High",3
"103","Tolima","Lluviosa","Tyrannidae","Myiarchus venezuelensis","T1P1","High",1
"104","Tolima","Lluviosa","Tyrannidae","Myiodynastes maculatus","T1P1","High",2
"105","Tolima","Seca","Tyrannidae","Myiodynastes maculatus","T1P1","High",2
"106","Tolima","Lluviosa","Parulidae","Myiothlypis fulvicauda","T1P1","High",2
"107","Valle del Cauca","Lluviosa","Parulidae","Myiothlypis fulvicauda","T1P1","High",1
"108","Valle del Cauca","Seca","Parulidae","Myiothlypis fulvicauda","T1P1","High",1
"109","Tolima","Lluviosa","Tyrannidae","Myiozetetes cayanensis","T1P1","High",2
"110","Tolima","Seca","Tyrannidae","Myiozetetes cayanensis","T1P1","High",1
"111","Tolima","Seca","Thamnophilidae","Myrmeciza longipes","T1P1","High",4
"112","Tolima","Seca","Bucconidae","Notharchus hyperrhynchus ","T1P1","High",1
"113","Tolima","Lluviosa","Bucconidae","Nystalus radiatus","T1P1","High",2
"114","Tolima","Seca","Thraupidae","Oryzoborus angolensis","T1P1","High",1
"115","Tolima","Seca","Tityridae","Pachyramphus polychopterus","T1P1","High",1
"116","Valle del Cauca","Seca","Tityridae","Pachyramphus polychopterus","T1P1","High",1
"117","Tolima","Lluviosa","Columbidae","Patagioenas cayennensis","T1P1","High",4
"118","Tolima","Seca","Columbidae","Patagioenas cayennensis","T1P1","High",6
"119","Valle del Cauca","Lluviosa","Tyrannidae","Phaeomyias murina","T1P1","High",2
"120","Tolima","Seca","Tyrannidae","Phaeomyias murina","T1P1","High",1
"121","Tolima","Lluviosa","Trochilidae","Phaethornis anthophilus","T1P1","High",1
"122","Tolima","Seca","Trochilidae","Phaethornis anthophilus","T1P1","High",2
"123","Valle del Cauca","Lluviosa","Trochilidae","Phaethornis striigularis","T1P1","High",1
"124","Valle del Cauca","Seca","Trochilidae","Phaethornis striigularis","T1P1","High",1
"125","Valle del Cauca","Seca","Cardinalidae","Pheucticus ludovicianus","T1P1","High",1
"126","Tolima","Lluviosa","Troglodytidae","Pheugopedius fasciatoventris","T1P1","High",2
"127","Valle del Cauca","Lluviosa","Troglodytidae","Pheugopedius fasciatoventris","T1P1","High",1
"128","Valle del Cauca","Seca","Troglodytidae","Pheugopedius mystacalis","T1P1","High",1
"129","Valle del Cauca","Seca","Tyrannidae","Phyllomyias griseiceps","T1P1","High",1
"130","Tolima","Lluviosa","Cuculidae","Piaya cayana","T1P1","High",1
"131","Tolima","Seca","Picidae","Picumnus olivaceus","T1P1","High",1
"132","Tolima","Lluviosa","Cardinalidae","Piranga rubra","T1P1","High",1
"133","Tolima","Seca","Cardinalidae","Piranga rubra","T1P1","High",1
"134","Tolima","Lluviosa","Tyrannidae","Pitangus sulphuratus","T1P1","High",5
"135","Tolima","Seca","Tyrannidae","Pitangus sulphuratus","T1P1","High",6
"136","Tolima","Seca","Tyrannidae","Poecilotriccus sylvia","T1P1","High",3
"137","Valle del Cauca","Seca","Tyrannidae","Poecilotriccus sylvia","T1P1","High",1
"138","Tolima","Lluviosa","Polioptilidae","Polioptila plumbea","T1P1","High",2
"139","Tolima","Seca","Polioptilidae","Polioptila plumbea","T1P1","High",5
"140","Tolima","Lluviosa","Icteridae","Psarocolius decumanus","T1P1","High",2
"141","Tolima","Seca","Icteridae","Psarocolius decumanus","T1P1","High",1
"142","Valle del Cauca","Lluviosa","Polioptilidae","Ramphocaenus melanurus","T1P1","High",2
"143","Tolima","Lluviosa","Thraupidae","Ramphocelus dimidiatus","T1P1","High",1
"144","Valle del Cauca","Lluviosa","Thraupidae","Ramphocelus dimidiatus","T1P1","High",2
"145","Tolima","Seca","Thraupidae","Ramphocelus dimidiatus","T1P1","High",2
"146","Tolima","Lluviosa","Accipitridae","Rupornis magnirostris","T1P1","High",9
"147","Tolima","Seca","Accipitridae","Rupornis magnirostris","T1P1","High",5
"148","Valle del Cauca","Seca","Accipitridae","Rupornis magnirostris","T1P1","High",1
"149","Valle del Cauca","Lluviosa","Cardinalidae","Saltator striatipectus","T1P1","High",1
"150","Tolima","Seca","Cardinalidae","Saltator striatipectus","T1P1","High",3
"151","Valle del Cauca","Seca","Cardinalidae","Saltator striatipectus","T1P1","High",8
"152","Valle del Cauca","Lluviosa","Parulidae","Setophaga fusca","T1P1","High",1
"153","Valle del Cauca","Seca","Parulidae","Setophaga fusca","T1P1","High",2
"154","Valle del Cauca","Lluviosa","Parulidae","Setophaga pitiayumi","T1P1","High",1
"155","Valle del Cauca","Seca","Parulidae","Setophaga pitiayumi","T1P1","High",1
"156","Valle del Cauca","Lluviosa","Parulidae","Setophaga ruticilla","T1P1","High",1
"157","Tolima","Lluviosa","Thraupidae","Sicalis flaveola","T1P1","High",1
"158","Tolima","Seca","Thraupidae","Sicalis flaveola","T1P1","High",10
"159","Valle del Cauca","Seca","Thraupidae","Sicalis flaveola","T1P1","High",1
"160","Tolima","Seca","Thraupidae","Sporophila minuta","T1P1","High",1
"161","Tolima","Lluviosa","Thraupidae","Sporophila nigricollis","T1P1","High",2
"162","Tolima","Lluviosa","Apodidae","Streptoprocne zonaris","T1P1","High",1
"163","Tolima","Seca","Furnariidae","Synallaxis albescens","T1P1","High",1
"164","Tolima","Lluviosa","Furnariidae","Synallaxis brachyura","T1P1","High",1
"165","Valle del Cauca","Lluviosa","Furnariidae","Synallaxis brachyura","T1P1","High",1
"166","Valle del Cauca","Seca","Furnariidae","Synallaxis brachyura","T1P1","High",2
"167","Valle del Cauca","Lluviosa","Thraupidae","Tachyphonus luctuosus","T1P1","High",2
"168","Tolima","Seca","Thraupidae","Tachyphonus rufus","T1P1","High",4
"169","Tolima","Seca","Thraupidae","Tangara gyrola","T1P1","High",1
"170","Tolima","Lluviosa","Thraupidae","Tangara vitriolina","T1P1","High",2
"171","Valle del Cauca","Lluviosa","Thraupidae","Tangara vitriolina","T1P1","High",2
"172","Valle del Cauca","Seca","Thraupidae","Tangara vitriolina","T1P1","High",8
"173","Tolima","Lluviosa","Cuculidae","Tapera naevia","T1P1","High",3
