"","Species","Order","Family","transfC","IndNumber"
"1","Mazama sanctaemartae","ARTIODACTYLA","Cervidae","High",1
"2","Dasyprocta  punctata","RODENTIA","Dasyproctidae","High",51
"3","Tamandua  mexicana","PILOSA","Myrmecophagidae","High",4
"4","Pecari  tajacu","ARTIODACTYLA","Tayassuidae","High",1
"5","Cerdocyon  thous","CARNIVORA","Canidae","Low",2
"6","Mazama sanctaemartae","ARTIODACTYLA","Cervidae","Low",12
"7","Cuniculus  paca","RODENTIA","Cuniculidae","Low",11
"8","Cabassous  centralis","CINGULATA","Dasypodidae","Low",5
"9","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Low",8
"10","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Low",41
"11","Leopardus  pardalis","CARNIVORA","Felidae","Low",3
"12","Sylvilagus brasiliensis","LAGOMORPHA","Leporidae","Low",7
"13","Conepatus  semistriatus","CARNIVORA","Mephitidae","Low",3
"14","Eira  barbara","CARNIVORA","Mustelidae","Low",6
"15","Tamandua  mexicana","PILOSA","Myrmecophagidae","Low",6
"16","Pecari  tajacu","ARTIODACTYLA","Tayassuidae","Low",4
"17","Mazama sanctaemartae","ARTIODACTYLA","Cervidae","Med",2
"18","Cuniculus  paca","RODENTIA","Cuniculidae","Med",4
"19","Cabassous  centralis","CINGULATA","Dasypodidae","Med",1
"20","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Med",1
"21","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Med",2
"22","Didelphis marsupialis","DIDELPHIMORPHIA","Didelphidae","Med",10
"23","Leopardus  pardalis","CARNIVORA","Felidae","Med",3
"24","Sylvilagus brasiliensis","LAGOMORPHA","Leporidae","Med",8
"25","Eira  barbara","CARNIVORA","Mustelidae","Med",8
"26","Tamandua  mexicana","PILOSA","Myrmecophagidae","Med",14
"27","Procyon  cancrivorus","CARNIVORA","Procyonidae","Med",3
