"","Estacionf2","Species","Order","Family","transfC","permC","IndNumber"
"1","CTNEP07","Sylvilagus brasiliensis","LAGOMORPHA","Leporidae","Med","Low",8
"2","CTNEP07","Cuniculus paca","RODENTIA","Cuniculidae","Med","Low",1
"3","CTNEP07","Tamandua mexicana","PILOSA","Myrmecophagidae","Med","Low",1
"4","CTNEP08","Didelphis marsupialis","DIDELPHIMORPHIA","Didelphidae","Med","Low",20
"5","CTNEP08","Cuniculus paca","RODENTIA","Cuniculidae","Med","Low",5
"6","CTNEP08","Leopardus pardalis","CARNIVORA","Felidae","Med","Low",2
"7","CTNEP08","Tamandua mexicana","PILOSA","Myrmecophagidae","Med","Low",7
"8","CTNEP08","Cabassous centralis","CINGULATA","Dasypodidae","Med","Low",1
"9","CTNEP08","Procyon  cancrivorus","CARNIVORA","Procyonidae","Med","Low",5
"10","CTNEP08","Dasypus novemcinctus","CINGULATA","Dasypodidae","Med","Low",2
"11","CTNEP08","Cerdocyon thous","CARNIVORA","Canidae","Med","Low",1
"12","CTNEP06","Dasypus novemcinctus","CINGULATA","Dasypodidae","Low","High",1
"13","CTNEP12","Mazama sanctaemartae","ARTIODACTYLA","Cervidae","Low","Low",2
"14","CTNEP12","Dasypus novemcinctus","CINGULATA","Dasypodidae","Low","Low",1
"15","CTNEP12","Cabassous centralis","CINGULATA","Dasypodidae","Low","Low",1
"16","CTNEP04","Dasypus novemcinctus","CINGULATA","Dasypodidae","Med","Low",3
"17","CTNEP04","Cuniculus paca","RODENTIA","Cuniculidae","Med","Low",4
"18","CTNEP04","Cabassous centralis","CINGULATA","Dasypodidae","Med","Low",1
"19","CTNEP03","Leopardus pardalis","CARNIVORA","Felidae","Med","Low",1
"20","CTNEP02","Tamandua mexicana","PILOSA","Myrmecophagidae","Med","Med",2
"21","CTNEP02","Sylvilagus brasiliensis","LAGOMORPHA","Leporidae","Med","Med",2
"22","CTNEP09","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Low","Med",4
"23","CTNEP15","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Low","High",12
"24","CTNEP15","Cuniculus paca","RODENTIA","Cuniculidae","Low","High",4
"25","CTNEP15","Dasypus novemcinctus","CINGULATA","Dasypodidae","Low","High",1
"26","CTNEP15","Eira barbara","CARNIVORA","Mustelidae","Low","High",1
"27","CTNEP15","Leopardus pardalis","CARNIVORA","Felidae","Low","High",2
"28","CTNEP10","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Low","Low",6
