"","Species","Order","Family","transfC","IndNumber"
"1","Mammalia","","","Media",1
"2","Cerdocyon  thous","CARNIVORA","Canidae","Media",1
"3","Cuniculus  paca","RODENTIA","Cuniculidae","Media",3
"4","Cabassous  centralis","CINGULATA","Dasypodidae","Media",1
"5","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Media",3
"6","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Media",15
"7","Didelphis  marsupialis","DIDELPHIMORPHIA","Didelphidae","Media",7
"8","Eira  barbara","CARNIVORA","Mustelidae","Media",1
"9","Procyon  lotor","CARNIVORA","Procyonidae","Media",8
"10","Notosciurus Guerlinguetus granatensis","RODENTIA","Sciuridae","Media",5
