"","Estacionf2","Species","Class","Order","Family","transfC","permC","IndNumber"
"1","CTMIN01","Tamandua  mexicana","Mammalia","PILOSA","Myrmecophagidae","Med","High",1
"2","CTMIN01","Pecari  tajacu","Mammalia","ARTIODACTYLA","Tayassuidae","Med","High",7
"3","CTMIN02","Eira  barbara","Mammalia","CARNIVORA","Mustelidae","Med","High",2
"4","CTMIN02","Didelphis","Mammalia","DIDELPHIMORPHIA","Didelphidae","Med","High",1
"5","CTMIN02","Sciurus","Mammalia","RODENTIA","Sciuridae","Med","High",1
"6","CTMIN02","Zentrygon linearis","Aves","COLUMBIFORMES","Columbidae (Pigeons and Doves)","Med","High",1
"7","CTMIN03","Geotrygon montana","Aves","COLUMBIFORMES","Columbidae (Pigeons and Doves)","Med","Med",21
"8","CTMIN03","Leptotila verreauxi","Aves","COLUMBIFORMES","Columbidae (Pigeons and Doves)","Med","Med",6
"9","CTMIN03","Canis  lupus familiaris","Mammalia","CARNIVORA","Canidae","Med","Med",1
"10","CTMIN03","Bos","Mammalia","ARTIODACTYLA","Bovidae","Med","Med",6
"11","CTMIN03","Rodentia sp.","Mammalia","RODENTIA",NA,"Med","Med",5
"12","CTMIN03","Dasyprocta  punctata","Mammalia","RODENTIA","Dasyproctidae","Med","Med",18
"13","CTMIN03","Sciurus","Mammalia","RODENTIA","Sciuridae","Med","Med",1
"14","CTMIN03","Aves sp.","Aves",NA,NA,"Med","Med",1
"15","CTMIN03","Momotidae sp.","Aves","CORACIIFORMES","Momotidae (Motmots)","Med","Med",1
"16","CTMIN03","Homo  sapiens","Mammalia","PRIMATES","Hominidae","Med","Med",1
"17","CTMIN03","Eira  barbara","Mammalia","CARNIVORA","Mustelidae","Med","Med",1
"18","CTMIN03","Cuniculus  paca","Mammalia","RODENTIA","Cuniculidae","Med","Med",1
"19","CTMIN03","Procyon  cancrivorus","Mammalia","CARNIVORA","Procyonidae","Med","Med",1
"20","CTMIN06","Pecari  tajacu","Mammalia","ARTIODACTYLA","Tayassuidae","Med","Med",2
"21","CTMIN06","Aves sp.","Aves",NA,NA,"Med","Med",3
"22","CTMIN06","Didelphis  marsupialis","Mammalia","DIDELPHIMORPHIA","Didelphidae","Med","Med",1
"23","CTMIN06","Conepatus  semistriatus","Mammalia","CARNIVORA","Mephitidae","Med","Med",1
"24","CTMIN06","Dasyprocta  punctata","Mammalia","RODENTIA","Dasyproctidae","Med","Med",3
"25","CTMIN06","Geotrygon montana","Aves","COLUMBIFORMES","Columbidae (Pigeons and Doves)","Med","Med",2
"26","CTMIN08","Dasyprocta  punctata","Mammalia","RODENTIA","Dasyproctidae","Med","Low",41
"27","CTMIN08","Aves sp.","Aves",NA,NA,"Med","Low",3
"28","CTMIN08","Cuniculus  paca","Mammalia","RODENTIA","Cuniculidae","Med","Low",4
"29","CTMIN08","Tamandua  mexicana","Mammalia","PILOSA","Myrmecophagidae","Med","Low",1
"30","CTMIN09","Didelphis","Mammalia","DIDELPHIMORPHIA","Didelphidae","Med","Low",1
"31","CTMIN09","Eira  barbara","Mammalia","CARNIVORA","Mustelidae","Med","Low",2
"32","CTMIN09","Tamandua  mexicana","Mammalia","PILOSA","Myrmecophagidae","Med","Low",4
"33","CTMIN09","Rodentia sp.","Mammalia","RODENTIA",NA,"Med","Low",10
"34","CTMIN09","Cuniculus  paca","Mammalia","RODENTIA","Cuniculidae","Med","Low",1
"35","CTMIN09","Dasyprocta  punctata","Mammalia","RODENTIA","Dasyproctidae","Med","Low",8
"36","CTMIN10","Sciurus","Mammalia","RODENTIA","Sciuridae","Low","High",1
