"","Estacionf2","Species","Class","Order","Family","transfC","permC","IndNumber"
"1","CTMIN01","Tamandua  mexicana","Mammalia","PILOSA","Myrmecophagidae","Med","High",1
"2","CTMIN01","Pecari  tajacu","Mammalia","ARTIODACTYLA","Tayassuidae","Med","High",7
"3","CTMIN02","Eira  barbara","Mammalia","CARNIVORA","Mustelidae","Med","High",2
"4","CTMIN02","Didelphis","Mammalia","DIDELPHIMORPHIA","Didelphidae","Med","High",1
"5","CTMIN02","Sciurus","Mammalia","RODENTIA","Sciuridae","Med","High",1
"6","CTMIN03","Canis  lupus familiaris","Mammalia","CARNIVORA","Canidae","Med","Med",1
"7","CTMIN03","Bos","Mammalia","ARTIODACTYLA","Bovidae","Med","Med",6
"8","CTMIN03","Rodentia sp.","Mammalia","RODENTIA",NA,"Med","Med",5
"9","CTMIN03","Dasyprocta  punctata","Mammalia","RODENTIA","Dasyproctidae","Med","Med",18
"10","CTMIN03","Sciurus","Mammalia","RODENTIA","Sciuridae","Med","Med",1
"11","CTMIN03","Homo  sapiens","Mammalia","PRIMATES","Hominidae","Med","Med",1
"12","CTMIN03","Eira  barbara","Mammalia","CARNIVORA","Mustelidae","Med","Med",1
"13","CTMIN03","Cuniculus  paca","Mammalia","RODENTIA","Cuniculidae","Med","Med",1
"14","CTMIN03","Procyon  cancrivorus","Mammalia","CARNIVORA","Procyonidae","Med","Med",1
"15","CTMIN04","Tamandua  mexicana","Mammalia","PILOSA","Myrmecophagidae","Med","Low",2
"16","CTMIN04","Sciurus","Mammalia","RODENTIA","Sciuridae","Med","Low",2
"17","CTMIN04","Dasypus  novemcinctus","Mammalia","CINGULATA","Dasypodidae","Med","Low",1
"18","CTMIN04","Dasyprocta  punctata","Mammalia","RODENTIA","Dasyproctidae","Med","Low",1
"19","CTMIN04","Cuniculus  paca","Mammalia","RODENTIA","Cuniculidae","Med","Low",1
"20","CTMIN05","Eira  barbara","Mammalia","CARNIVORA","Mustelidae","Med","Low",4
"21","CTMIN05","Didelphis  marsupialis","Mammalia","DIDELPHIMORPHIA","Didelphidae","Med","Low",3
"22","CTMIN06","Pecari  tajacu","Mammalia","ARTIODACTYLA","Tayassuidae","Med","Med",2
"23","CTMIN06","Didelphis  marsupialis","Mammalia","DIDELPHIMORPHIA","Didelphidae","Med","Med",1
"24","CTMIN06","Conepatus  semistriatus","Mammalia","CARNIVORA","Mephitidae","Med","Med",1
"25","CTMIN06","Dasyprocta  punctata","Mammalia","RODENTIA","Dasyproctidae","Med","Med",3
"26","CTMIN08","Dasyprocta  punctata","Mammalia","RODENTIA","Dasyproctidae","Med","Low",41
"27","CTMIN08","Cuniculus  paca","Mammalia","RODENTIA","Cuniculidae","Med","Low",4
"28","CTMIN08","Tamandua  mexicana","Mammalia","PILOSA","Myrmecophagidae","Med","Low",1
"29","CTMIN09","Didelphis","Mammalia","DIDELPHIMORPHIA","Didelphidae","Med","Low",1
"30","CTMIN09","Eira  barbara","Mammalia","CARNIVORA","Mustelidae","Med","Low",2
"31","CTMIN09","Tamandua  mexicana","Mammalia","PILOSA","Myrmecophagidae","Med","Low",4
"32","CTMIN09","Rodentia sp.","Mammalia","RODENTIA",NA,"Med","Low",10
"33","CTMIN09","Cuniculus  paca","Mammalia","RODENTIA","Cuniculidae","Med","Low",1
"34","CTMIN09","Dasyprocta  punctata","Mammalia","RODENTIA","Dasyproctidae","Med","Low",8
"35","CTMIN10","Sciurus","Mammalia","RODENTIA","Sciuridae","Low","High",1
"36","CTMIN10","Bos","Mammalia","ARTIODACTYLA","Bovidae","Low","High",2
"37","CTMIN11","Eira  barbara","Mammalia","CARNIVORA","Mustelidae","Low","Med",1
"38","CTMIN11","Dasyprocta  punctata","Mammalia","RODENTIA","Dasyproctidae","Low","Med",2
"39","CTMIN12","Eira  barbara","Mammalia","CARNIVORA","Mustelidae","Low","High",3
"40","CTMIN12","Leopardus pardalis","Mammalia","CARNIVORA","Felidae","Low","High",1
"41","CTMIN12","Dasyprocta  punctata","Mammalia","RODENTIA","Dasyproctidae","Low","High",2
"42","CTMIN13","Dasyprocta  punctata","Mammalia","RODENTIA","Dasyproctidae","Low","Med",1
"43","CTMIN13","Cuniculus  paca","Mammalia","RODENTIA","Cuniculidae","Low","Med",1
"44","CTMIN14","Pecari  tajacu","Mammalia","ARTIODACTYLA","Tayassuidae","Low","Low",2
"45","CTMIN14","Leopardus pardalis","Mammalia","CARNIVORA","Felidae","Low","Low",1
"46","CTMIN14","Didelphis  marsupialis","Mammalia","DIDELPHIMORPHIA","Didelphidae","Low","Low",1
"47","CTMIN14","Dasyprocta  punctata","Mammalia","RODENTIA","Dasyproctidae","Low","Low",1
"48","CTMIN14","Tamandua  mexicana","Mammalia","PILOSA","Myrmecophagidae","Low","Low",1
"49","CTMIN17","Rodentia sp.","Mammalia","RODENTIA",NA,"High","Low",1
"50","CTMIN17","Tamandua  mexicana","Mammalia","PILOSA","Myrmecophagidae","High","Low",1
"51","CTMIN17","Bos","Mammalia","ARTIODACTYLA","Bovidae","High","Low",1
"52","CTMIN17","Dasyprocta  punctata","Mammalia","RODENTIA","Dasyproctidae","High","Low",1
"53","CTMIN17","Cuniculus  paca","Mammalia","RODENTIA","Cuniculidae","High","Low",1
"54","CTMIN17","Didelphis  marsupialis","Mammalia","DIDELPHIMORPHIA","Didelphidae","High","Low",1
"55","CTMIN17","Cerdocyon thous","Mammalia","CARNIVORA","Canidae","High","Low",1
"56","CTMIN18","Rodentia sp.","Mammalia","RODENTIA",NA,"High","High",1
