"","Species","order","family","transfC","IndNumber"
"1","Capra aegagrus","Artiodactyla","Bovidae","Alta",4
"2","Odocoileus cariacou","Artiodactyla","Cervidae","Alta",1
"3","Dasyprocta punctata","Rodentia","Dasyproctidae","Alta",10
"4","Leopardus pardalis","Carnivora","Felidae","Alta",2
"5","Sylvilagus brasiliensis","Lagomorpha","Leporidae","Alta",1
"6","Eira barbara","Carnivora","Mustelidae","Alta",2
"7","Tamandua mexicana","Pilosa","Myrmecophagidae","Alta",1
"8","Procyon cancrivorus","Carnivora","Procyonidae","Alta",1
"9","Pecari tajacu","Artiodactyla","Tayassuidae","Alta",9
"10","Capra aegagrus","Artiodactyla","Bovidae","Baja",15
"11","Cerdocyon thous","Carnivora","Canidae","Baja",2
"12","Odocoileus cariacou","Artiodactyla","Cervidae","Baja",3
"13","Cuniculus paca","Rodentia","Cuniculidae","Baja",2
"14","Dasypus novemcinctus","Cingulata","Dasypodidae","Baja",1
"15","Dasyprocta punctata","Rodentia","Dasyproctidae","Baja",5
"16","Didelphis marsupialis","Didelphimorphia","Didelphidae","Baja",1
"17","Equus ferus","Perissodactyla","Equidae","Baja",1
"18","Leopardus pardalis","Carnivora","Felidae","Baja",1
"19","Mus o Rattus","Rodentia","Muridae","Baja",1
"20","Eira barbara","Carnivora","Mustelidae","Baja",2
"21","Tamandua mexicana","Pilosa","Myrmecophagidae","Baja",1
"22","Procyon cancrivorus","Carnivora","Procyonidae","Baja",3
"23","Notosciurus","Rodentia","Sciuridae","Baja",2
"24","Pecari tajacu","Artiodactyla","Tayassuidae","Baja",30
"25","Odocoileus cariacou","Artiodactyla","Cervidae","Media",1
"26","Equus ferus","Perissodactyla","Equidae","Media",1
"27","Leopardus pardalis","Carnivora","Felidae","Media",2
"28","Sylvilagus brasiliensis","Lagomorpha","Leporidae","Media",1
