"","Species","Order","Family","transfC","IndNumber"
"1","Cerdocyon  thous","CARNIVORA","Canidae","Alta",1
"2","Cuniculus  paca","RODENTIA","Cuniculidae","Alta",2
"3","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Alta",7
"4","Felis  silvestris","CARNIVORA","Felidae","Alta",2
"5","Leopardus  pardalis","CARNIVORA","Felidae","Alta",1
"6","Eira  barbara","CARNIVORA","Mustelidae","Alta",2
"7","Tamandua  mexicana","PILOSA","Myrmecophagidae","Alta",1
"8","Procyon  cancrivorus","CARNIVORA","Procyonidae","Alta",2
"9","Notosciurus Guerlinguetus granatensis","RODENTIA","Sciuridae","Alta",9
"10","Odocoileus cariacou","ARTIODACTYLA","Cervidae","Baja",8
"11","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Baja",3
"12","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Baja",22
"13","Leopardus  pardalis","CARNIVORA","Felidae","Baja",1
"14","Tamandua  mexicana","PILOSA","Myrmecophagidae","Baja",1
"15","Procyon  cancrivorus","CARNIVORA","Procyonidae","Baja",4
"16","Pecari  tajacu","ARTIODACTYLA","Tayassuidae","Baja",14
"17","Mammalia","","","Media",1
"18","Odocoileus cariacou","ARTIODACTYLA","Cervidae","Media",4
"19","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Media",8
"20","Didelphis  marsupialis","DIDELPHIMORPHIA","Didelphidae","Media",5
"21","Eira  barbara","CARNIVORA","Mustelidae","Media",2
"22","Tamandua  mexicana","PILOSA","Myrmecophagidae","Media",3
"23","Procyon  cancrivorus","CARNIVORA","Procyonidae","Media",2
"24","Notosciurus Guerlinguetus granatensis","RODENTIA","Sciuridae","Media",2
"25","Pecari  tajacu","ARTIODACTYLA","Tayassuidae","Media",9
