"","Species","Order","Family","transfC","IndNumber"
"1","Cerdocyon  thous","CARNIVORA","Canidae","Alta",2
"2","Cuniculus  paca","RODENTIA","Cuniculidae","Alta",1
"3","Didelphis  marsupialis","DIDELPHIMORPHIA","Didelphidae","Alta",1
"4","Felis silvestris catus","CARNIVORA","Felidae","Alta",4
"5","Procyon  cancrivorus","CARNIVORA","Procyonidae","Alta",2
"6","Odocoileus cariacou","ARTIODACTYLA","Cervidae","Baja",6
"7","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Baja",9
"8","Leopardus pardalis","CARNIVORA","Felidae","Baja",1
"9","Procyon  cancrivorus","CARNIVORA","Procyonidae","Baja",1
"10","Pecari  tajacu","ARTIODACTYLA","Tayassuidae","Baja",1
"11","Odocoileus cariacou","ARTIODACTYLA","Cervidae","Media",3
"12","Cuniculus  paca","RODENTIA","Cuniculidae","Media",10
"13","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Media",6
"14","Leopardus pardalis","CARNIVORA","Felidae","Media",2
"15","Conepatus  semistriatus","CARNIVORA","Mephitidae","Media",1
"16","Eira  barbara","CARNIVORA","Mustelidae","Media",3
"17","Tamandua  mexicana","PILOSA","Myrmecophagidae","Media",1
"18","Pecari  tajacu","ARTIODACTYLA","Tayassuidae","Media",5
