"","Estacionf2","Species","Order","Family","Zona","transfC","IndNumber"
"1","Station: CTDAG02","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Sur","Alta",4
"2","Station: CTDAG02","Notosciurus","RODENTIA","Sciuridae","Sur","Alta",1
"3","Station: CTDAG02","Eira  barbara","CARNIVORA","Mustelidae","Sur","Alta",4
"4","Station: CTDAG02","Didelphis  marsupialis","DIDELPHIMORPHIA","Didelphidae","Sur","Alta",6
"5","Station: CTDAG01","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Sur","Alta",5
"6","Station: CTDAG01","Eira  barbara","CARNIVORA","Mustelidae","Sur","Alta",1
"7","Station: CTDAG01","Tamandua  mexicana","PILOSA","Myrmecophagidae","Sur","Alta",1
"8","Station: CTDAG04","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Norte","Alta",1
"9","Station: CTDAG07","Cuniculus  paca","RODENTIA","Cuniculidae","Norte","Alta",10
"10","Station: CTDAG07","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Norte","Alta",7
"11","Station: CTDAG07","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Norte","Alta",2
"12","Station: CTDAG06","Cerdocyon  thous","CARNIVORA","Canidae","Norte","Alta",1
"13","Station: CTDAG05","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Norte","Alta",1
"14","Station: CTDAG03","Cerdocyon  thous","CARNIVORA","Canidae","Norte","Alta",23
"15","Station: CTDAG03","Didelphis  marsupialis","DIDELPHIMORPHIA","Didelphidae","Norte","Alta",1
"16","Station: CTDAG03","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Norte","Alta",1
"17","Station: CTDAG03","Puma  yagouaroundi","CARNIVORA","Felidae","Norte","Alta",1
