"","Estacionf2","Species","Order","Family","transfC","Zona","IndNumber"
"1","CTDAG02","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Alta","Sur",5
"2","CTDAG02","Didelphis  marsupialis","DIDELPHIMORPHIA","Didelphidae","Alta","Sur",4
"3","CTDAG02","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Alta","Sur",1
"4","CTDAG04","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Alta","Norte",4
"5","CTDAG04","Didelphis  marsupialis","DIDELPHIMORPHIA","Didelphidae","Alta","Norte",4
"6","CTDAG04","Cabassous  centralis","CINGULATA","Dasypodidae","Alta","Norte",1
"7","CTDAG05","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Alta","Norte",11
"8","CTDAG05","Mammalia","","","Alta","Norte",1
"9","CTDAG01","Cerdocyon  thous","CARNIVORA","Canidae","Alta","Sur",1
"10","CTDAG06","Cuniculus  paca","RODENTIA","Cuniculidae","Alta","Norte",4
"11","CTDAG06","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Alta","Norte",3
"12","CTDAG06","Didelphis  marsupialis","DIDELPHIMORPHIA","Didelphidae","Alta","Norte",2
"13","CTDAG06","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Alta","Norte",2
"14","CTDAG07","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Alta","Norte",4
"15","CTDAG03","Didelphis  marsupialis","DIDELPHIMORPHIA","Didelphidae","Alta","Norte",5
"16","CTDAG03","Cerdocyon  thous","CARNIVORA","Canidae","Alta","Norte",1
