"","region","watershed","plot","subplot","individual","ramet","dbh","height","family","genus","epithet","code","NewPlotCode","Trat","Number","Trans","Perm"
"1","Caribe","Guajira","T1P1",1,"1",1,"3.2","4","URTICACEAE","Myriocarpa","longipes","Myrilong","T1P1","G-T1P1",1,"Medium","Medium"
"2","Caribe","Guajira","T1P1",1,"2",1,"3.3","5","URTICACEAE","Myriocarpa","longipes","Myrilong","T1P1","G-T1P1",1,"Medium","Medium"
"3","Caribe","Guajira","T1P1",1,"3",1,"3.2","5","URTICACEAE","Myriocarpa","longipes","Myrilong","T1P1","G-T1P1",1,"Medium","Medium"
"4","Caribe","Guajira","T1P1",1,"4",1,"2.5","3","URTICACEAE","Myriocarpa","longipes","Myrilong","T1P1","G-T1P1",1,"Medium","Medium"
"5","Caribe","Guajira","T1P1",1,"6",1,"5.3","6","APOCYNACEAE","Thevetia","ahouai","Thevahou","T1P1","G-T1P1",1,"Medium","Medium"
"6","Caribe","Guajira","T1P1",1,"6A",2,"5.1","7","APOCYNACEAE","Thevetia","ahouai","Thevahou","T1P1","G-T1P1",1,"Medium","Medium"
"7","Caribe","Guajira","T1P1",1,"7",1,"6.2","6","APOCYNACEAE","Thevetia","ahouai","Thevahou","T1P1","G-T1P1",1,"Medium","Medium"
"8","Caribe","Guajira","T1P1",1,"8",1,"3.4","2","URTICACEAE","Myriocarpa","longipes","Myrilong","T1P1","G-T1P1",1,"Medium","Medium"
"9","Caribe","Guajira","T1P1",1,"9",1,"2.5","4","URTICACEAE","Myriocarpa","longipes","Myrilong","T1P1","G-T1P1",1,"Medium","Medium"
"10","Caribe","Guajira","T1P1",1,"10",1,"5.1","5","URTICACEAE","Myriocarpa","longipes","Myrilong","T1P1","G-T1P1",1,"Medium","Medium"
"11","Caribe","Guajira","T1P1",1,"10A",2,"3.1","5","URTICACEAE","Myriocarpa","longipes","Myrilong","T1P1","G-T1P1",1,"Medium","Medium"
"12","Caribe","Guajira","T1P1",1,"12",1,"4.1","6","URTICACEAE","Myriocarpa","longipes","Myrilong","T1P1","G-T1P1",1,"Medium","Medium"
"13","Caribe","Guajira","T1P1",1,"13",1,"46.1","10","MORACEAE","Ficus","insipida","Ficuinsi","T1P1","G-T1P1",1,"Medium","Medium"
"14","Caribe","Guajira","T1P1",1,"15",1,"6.4","6","URTICACEAE","Myriocarpa","longipes","Myrilong","T1P1","G-T1P1",1,"Medium","Medium"
"15","Caribe","Guajira","T1P1",1,"16",1,"2.5","4","URTICACEAE","Myriocarpa","longipes","Myrilong","T1P1","G-T1P1",1,"Medium","Medium"
"16","Caribe","Guajira","T1P1",1,"17A",2,"3.1","6","URTICACEAE","Myriocarpa","longipes","Myrilong","T1P1","G-T1P1",1,"Medium","Medium"
"17","Caribe","Guajira","T1P1",1,"20",1,"3.4","5","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"18","Caribe","Guajira","T1P1",1,"21",1,"2.5","4","MORACEAE","Poulsenia","armata","Poularma","T1P1","G-T1P1",1,"Medium","Medium"
"19","Caribe","Guajira","T1P1",1,"22",1,"2.5","4","MORACEAE","Poulsenia","armata","Poularma","T1P1","G-T1P1",1,"Medium","Medium"
"20","Caribe","Guajira","T1P1",1,"23",1,"13.1","7","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"21","Caribe","Guajira","T1P1",1,"23A",2,"15.2","12","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"22","Caribe","Guajira","T1P1",1,"24",1,"4.2","5","MELIACEAE","Guarea","guidonia","Guarguid","T1P1","G-T1P1",1,"Medium","Medium"
"23","Caribe","Guajira","T1P1",1,"25",1,"4.1","7","MYRISTICACEAE","Virola","sebifera","Virosebi","T1P1","G-T1P1",1,"Medium","Medium"
"24","Caribe","Guajira","T1P1",2,"26",1,"13.2","11","EUPHORBIACEAE","Acalypha","diversifolia","Acaldive","T1P1","G-T1P1",1,"Medium","Medium"
"25","Caribe","Guajira","T1P1",2,"28",1,"3.1","6","LAURACEAE","Lauraceae","sp3","Laursp3","T1P1","G-T1P1",1,"Medium","Medium"
"26","Caribe","Guajira","T1P1",2,"29",1,"5.4","7","","","","","T1P1","G-T1P1",1,"Medium","Medium"
"27","Caribe","Guajira","T1P1",2,"30",1,"8.2","9","PERACEAE","Pera","arborea","Peraarbo","T1P1","G-T1P1",1,"Medium","Medium"
"28","Caribe","Guajira","T1P1",2,"31",1,"10.2","8","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"29","Caribe","Guajira","T1P1",2,"32",1,"8","7","PIPERACEAE","Piper","reticulatum","Pipereti","T1P1","G-T1P1",1,"Medium","Medium"
"30","Caribe","Guajira","T1P1",2,"32A",2,"3","5","PIPERACEAE","Piper","reticulatum","Pipereti","T1P1","G-T1P1",1,"Medium","Medium"
"31","Caribe","Guajira","T1P1",2,"33",1,"3.1","6","FABACEAE","Machaerium","sp4","Machsp4","T1P1","G-T1P1",1,"Medium","Medium"
"32","Caribe","Guajira","T1P1",2,"34",1,"3.2","6","MYRISTICACEAE","Virola","sebifera","Virosebi","T1P1","G-T1P1",1,"Medium","Medium"
"33","Caribe","Guajira","T1P1",2,"34A",2,"3","6","MYRISTICACEAE","Virola","sebifera","Virosebi","T1P1","G-T1P1",1,"Medium","Medium"
"34","Caribe","Guajira","T1P1",2,"35",1,"6.2","7","LAURACEAE","Lauraceae","sp3","Laursp3","T1P1","G-T1P1",1,"Medium","Medium"
"35","Caribe","Guajira","T1P1",2,"36",1,"15.3","8","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"36","Caribe","Guajira","T1P1",2,"36A",2,"17.2","14","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"37","Caribe","Guajira","T1P1",2,"37",1,"3.1","5","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
