"","region","watershed","family","genus","epithet","code","Trans","Number"
"1","Caribe","Bolivar","","","","","High",11
"2","Caribe","Guajira","","","","","High",10
"3","ValleMagdalena","Huila","","","","","High",1
"4","ValleCauca","Valle del Cauca","","","","","High",9
"5","Caribe","Bolivar","EUPHORBIACEAE","Acalypha","diversifolia","Acaldive","High",3
"6","Caribe","Guajira","EUPHORBIACEAE","Acalypha","diversifolia","Acaldive","High",10
"7","Caribe","Bolivar","EUPHORBIACEAE","Acalypha","villosa","Acalvill","High",3
"8","Caribe","Guajira","BIGNONIACEAE","Adenocalymma","aspericarpum","Adenaspe","High",1
"9","Caribe","Guajira","LAMIACEAE","Aegiphila","laeta","Aegilaet","High",17
"10","Caribe","Bolivar","FABACEAE","Albizia","niopoides","Albiniop","High",9
"11","Caribe","Bolivar","SAPINDACEAE","Allophylus","racemosus","Allorace","High",2
"12","Caribe","Bolivar","ULMACEAE","Ampelocera","macphersonii","Ampemacp","High",1
"13","ValleMagdalena","TolimaS","ULMACEAE","Ampelocera","sp","Ampesp","High",11
"14","ValleCauca","Valle del Cauca","RUTACEAE","Amyris","pinnata","Amyrpinn","High",35
"15","Caribe","Guajira","ANACARDIACEAE","Anacardium","excelsum","Anacexce","High",1
"16","ValleMagdalena","Huila","ANACARDIACEAE","Anacardium","excelsum","Anacexce","High",2
"17","ValleCauca","Valle del Cauca","ANNONACEAE","Annona","muricata","Annomuri","High",24
"18","ValleCauca","Valle del Cauca","ANNONACEAE","Annona","quinduensis","Annoquin","High",13
"19","ValleMagdalena","Huila","ANNONACEAE","Annona","rufinervis","Annorufi","High",5
"20","Caribe","Bolivar","ANACARDIACEAE","Astronium","graveolens","Astrgrav","High",5
"21","Caribe","Guajira","ANACARDIACEAE","Astronium","graveolens","Astrgrav","High",11
"22","ValleMagdalena","Huila","ANACARDIACEAE","Astronium","graveolens","Astrgrav","High",10
"23","ValleMagdalena","TolimaS","ANACARDIACEAE","Astronium","graveolens","Astrgrav","High",2
"24","Caribe","Guajira","ARECACEAE","Attalea","butyracea","Attabuty","High",4
"25","ValleMagdalena","Huila","ARECACEAE","Attalea","butyracea","Attabuty","High",6
"26","Caribe","Bolivar","ARECACEAE","Bactris","sp","Bactsp","High",1
"27","Caribe","Guajira","ARECACEAE","Bactris","sp","Bactsp","High",15
"28","ValleMagdalena","Huila","ARECACEAE","Bactris","sp","Bactsp","High",1
"29","Caribe","Guajira","SALICACEAE","Banara","guianensis","Banaguia","High",11
"30","ValleMagdalena","Huila","SALICACEAE","Banara","ibaguensis","Banaibag","High",4
"31","ValleMagdalena","TolimaS","SALICACEAE","Banara","ibaguensis","Banaibag","High",5
"32","Caribe","Bolivar","BIGNONIACEAE","Bignonia","diversifolia","Bigndive","High",2
"33","Caribe","Guajira","BIXACEAE","Bixa","orellana","Bixaorel","High",8
"34","Caribe","Bolivar","MORACEAE","Brosimum","alicastrum","Brosalic","High",1
"35","Caribe","Guajira","MORACEAE","Brosimum","alicastrum","Brosalic","High",1
"36","ValleCauca","Valle del Cauca","MORACEAE","Brosimum","alicastrum","Brosalic","High",276
"37","Caribe","Bolivar","MORACEAE","Brosimum","guianense","Brosguia","High",6
"38","ValleMagdalena","Huila","MALPIGHIACEAE","Bunchosia","pseudonitida","Buncpseu","High",1
"39","ValleCauca","Valle del Cauca","MALPIGHIACEAE","Bunchosia","pseudonitida","Buncpseu","High",92
"40","ValleCauca","Valle del Cauca","MALPIGHIACEAE","Bunchosia","sp3","Buncsp3","High",140
"41","Caribe","Bolivar","BURSERACEAE","Bursera","simaruba","Burssima","High",1
"42","ValleMagdalena","TolimaS","BURSERACEAE","Bursera","tomentosa","Burstome","High",1
"43","ValleMagdalena","Huila","LAMIACEAE","Callicarpa","acuminata","Callacum","High",29
"44","ValleCauca","Valle del Cauca","FABACEAE","Calliandra","lehmannii","Calllehm","High",58
"45","Caribe","Bolivar","CAPPARACEAE","Capparidastrum","frondosum","Cappfron","High",1
"46","ValleCauca","Valle del Cauca","APOCYNACEAE","Cascabela","thevetia","Cascthev","High",5
"47","Caribe","Bolivar","SALICACEAE","Casearia","corymbosa","Casecory","High",11
"48","Caribe","Guajira","SALICACEAE","Casearia","corymbosa","Casecory","High",1
"49","ValleMagdalena","Huila","SALICACEAE","Casearia","corymbosa","Casecory","High",10
"50","ValleMagdalena","TolimaS","SALICACEAE","Casearia","corymbosa","Casecory","High",6
"51","Caribe","Bolivar","SALICACEAE","Casearia","praecox","Caseprae","High",2
"52","Caribe","Bolivar","SALICACEAE","Casearia","sp1","Casesp1","High",25
"53","ValleMagdalena","Huila","SALICACEAE","Casearia","sp2","Casesp2","High",15
"54","ValleMagdalena","Huila","SALICACEAE","Casearia","sp3","Casesp3","High",1
"55","ValleMagdalena","Huila","SALICACEAE","Casearia","sylvestris","Casesylv","High",36
"56","Caribe","Bolivar","URTICACEAE","Cecropia","peltata","Cecrpelt","High",1
"57","Caribe","Guajira","URTICACEAE","Cecropia","sp","Cecrsp","High",30
"58","ValleMagdalena","Huila","CANNABACEAE","Celtis","iguanaea","Celtigua","High",3
"59","Caribe","Bolivar","FABACEAE","Chloroleucon","mangense","Chlomang","High",16
"60","ValleCauca","Valle del Cauca","FABACEAE","Chloroleucon","mangense","Chlomang","High",1
"61","Caribe","Bolivar","RUBIACEAE","Chomelia","microloba","Chommicr","High",5
"62","ValleMagdalena","Huila","RUBIACEAE","Chomelia","microloba","Chommicr","High",5
"63","Caribe","Bolivar","RUBIACEAE","Chomelia","spinosa","Chomspin","High",105
"64","ValleMagdalena","TolimaS","RUBIACEAE","Chomelia","spinosa","Chomspin","High",29
"65","ValleCauca","Valle del Cauca","SAPOTACEAE","Chrysophyllum","argenteum","Chryarge","High",32
"66","ValleMagdalena","Huila","LAURACEAE","Cinnamomum","triplinerve","Cinntrip","High",18
"67","ValleCauca","Valle del Cauca","LAURACEAE","Cinnamomum","triplinerve","Cinntrip","High",28
"68","ValleCauca","Valle del Cauca","VERBENACEAE","Citharexylum","kunthianum","Cithkunt","High",39
"69","Caribe","Guajira","MORACEAE","Clarisia","biflora","Clarbifl","High",9
"70","ValleCauca","Valle del Cauca","CLUSIACEAE","Clusia","cochliformis","Cluscoch","High",39
