"","Original","Adjusted","VSpNm","genus","family","life_form","code","txresol","life_form_w","threat_st"
"1"," Albizia sp","Albizia sp","Albizia","Albizia","Fabaceae","treelet","Albisp","genus","treelet",NA
"2"," Cocos nucifera","Cocos nucifera","Cocos nucifera","Cocos",NA,NA,"Coconucif","species","palm",NA
"3","Abarema jupunba","Abarema jupunba","Abarema jupunba","Abarema","Fabaceae",NA,"Abarjupun","species","tree",NA
"4","Abutilon ibarrense","Abutilon ibarrense","Abutilon ibarrense","Abutilon",NA,NA,"Abutibarr","species",NA,NA
"5","Acacia farnesiana","Acacia farnesiana","Acacia farnesiana","Acacia",NA,NA,"Acacfarne","species","treelet",NA
"6","Acacia farnesina","Acacia farnesiana","Acacia farnesiana","Acacia",NA,NA,"Acacfarne","species","treelet",NA
"7","Acacia farnessiana","Acacia farnesiana","Acacia farnesiana","Acacia",NA,NA,"Acacfarne","species","treelet",NA
"8","Acacia mangium","Acacia mangium","Acacia mangium","Acacia",NA,NA,"Acacmangi","species",NA,NA
"9","Acacia pennatula","Acacia pennatula","Acacia pennatula","Acacia",NA,NA,"Acacpenna","species",NA,NA
"10","Acacia polyphylla","Acacia polyphylla","Acacia polyphylla","Acacia",NA,NA,"Acacpolyp","species","tree",NA
"11","Acacia sp","Acacia sp","Acacia","Acacia",NA,NA,"Acacsp","genus",NA,NA
"12","Acaliphia sp","Acalypha sp","Acalypha","Acalypha","Euphorbiaceae","shrub","Acalsp","genus","shrub",NA
"13","Acaly sp","Acalypha sp","Acalypha","Acalypha","Euphorbiaceae","shrub","Acalsp","genus","shrub",NA
"14","Acalypha diversifolia","Acalypha diversifolia","Acalypha diversifolia","Acalypha","Euphorbiaceae","shrub","Acaldive","species","shrub",NA
"15","Acalypha macrostachya","Acalypha macrostachya","Acalypha macrostachya","Acalypha","Euphorbiaceae","tree","Acalmacr","species","tree",NA
"16","Acalypha sp","Acalypha sp","Acalypha","Acalypha","Euphorbiaceae","shrub","Acalsp","genus","shrub",NA
"17","Acantella sprucei","Acantella sprucei","Acanthella sprucei","Acanthella",NA,NA,"Acanspruc","species","treelet",NA
"18","Acanthocereus sp","Acanthocereus sp","Acanthocereus","Acanthocereus","Cactaceae",NA,"Acansp","genus",NA,NA
"19","Acanthocereus tetragonus","Acanthocereus tetragonus","Acanthocereus tetragonus","Acanthocereus","Cactaceae","cactus","Acantetr","species","cactus",NA
"20","Acanthocerus sp","Acanthocereus sp","Acanthocereus","Acanthocereus","Cactaceae",NA,"Acansp","genus",NA,NA
"21","Acantocerus sp","Acanthocereus sp","Acanthocereus","Acanthocereus","Cactaceae",NA,"Acansp","genus",NA,NA
"22","Achatocarpus nigricans","Achatocarpus nigricans","Achatocarpus nigricans","Achatocarpus","Achatocarpaceae","treelet","Achanigr","species","treelet",NA
"23","Achatocarpus sp","Achatocarpus sp","Achatocarpus","Achatocarpus","Achatocarpaceae",NA,"Achasp","genus",NA,NA
"24","Acmella ciliata","Acmella ciliata","Acmella ciliata","Acmella",NA,NA,"Acmecilia","species","forb",NA
"25","Acrocomia aculeata","Acrocomia aculeata","Acrocomia aculeata","Acrocomia",NA,NA,"Acroacule","species","palm",NA
"26","Acrocomia aculeta","Acrocomia aculeata","Acrocomia aculeata","Acrocomia",NA,NA,"Acroacule","species","palm",NA
"27","Acrocomia culeata","Acrocomia aculeata","Acrocomia aculeata","Acrocomia",NA,NA,"Acroacule","species","palm",NA
"28","Acrocomia sp","Acrocomia sp","Acrocomia","Acrocomia",NA,NA,"Acrosp","genus",NA,NA
"29","Adatocarpus sp","Achatocarpus sp","Achatocarpus","Achatocarpus","Achatocarpaceae",NA,"Achasp","genus",NA,NA
"30","Adenolisianthus arboreus","Adenolisianthus arboreus","Adenolisianthus arboreus","Adenolisianthus",NA,NA,"Adenarbor","species","treelet",NA
"31","Aegephilla sp","Aegiphila sp","Aegiphila","Aegiphila","Lamiaceae","shrub","Aegisp","genus","shrub",NA
"32","Aegiphila sp","Aegiphila sp","Aegiphila","Aegiphila","Lamiaceae","shrub","Aegisp","genus","shrub",NA
"33","Agave sp","Agave sp","Agave","Agave",NA,NA,"Agavsp","genus",NA,NA
"34","Agonanadra brasiliensis","Agonandra brasiliensis","Agonandra brasiliensis","Agonandra","Opiliaceae","tree","Agonbras","species","tree",NA
"35","Agonand sp","Agonandra sp","Agonandra","Agonandra","Opiliaceae",NA,"Agonsp","genus",NA,NA
"36","Agonandra brasiliensis","Agonandra brasiliensis","Agonandra brasiliensis","Agonandra","Opiliaceae","tree","Agonbras","species","tree",NA
"37","Aiphanes aculeata","Aiphanes aculeata","Aiphanes aculeata","Aiphanes","Arecaceae",NA,"Aiphacule","species","palm",NA
"38","Albizia carbonaria","Albizia carbonaria","Albizia carbonaria","Albizia","Fabaceae","tree","Albicarb","species","tree",NA
"39","Albizia guachapele","Albizia guachapele","Albizia guachapele","Albizia","Fabaceae",NA,"Albiguach","species",NA,NA
"40","Albizia guacilapela","Albizia guachapele","Albizia guachapele","Albizia","Fabaceae",NA,"Albiguach","species",NA,NA
"41","Albizia guadapete","Albizia guachapele","Albizia guachapele","Albizia","Fabaceae",NA,"Albiguach","species",NA,NA
"42","Albizia niopiodes","Albizia niopoides","Albizia niopoides","Albizia","Fabaceae","tree","Albiniop","species","tree","LC"
"43","Albizia niopioides","Albizia niopoides","Albizia niopoides","Albizia","Fabaceae","tree","Albiniop","species","tree","LC"
"44","Albizia niopoides","Albizia niopoides","Albizia niopoides","Albizia","Fabaceae","tree","Albiniop","species","tree","LC"
"45","Albizia nipoides","Albizia niopoides","Albizia niopoides","Albizia","Fabaceae","tree","Albiniop","species","tree","LC"
"46","Albizia saman","Albizia samanea","Albizia","Albizia","Fabaceae","treelet","Albisp","genus","treelet",NA
"47","Albizia saman especies en","Albizia samanea","Albizia","Albizia","Fabaceae","treelet","Albisp","genus","treelet",NA
