"","code","family","genus","specificEpithet","life_form","scientificName","scientificName2","scientifiNameV"
"1","Abarsp","Fabaceae","Abarema","sp","tree","Abarema sp","Abarema sp","Abarema"
"2","Acaldive","Euphorbiaceae","Acalypha","diversifolia","shrub","Acalypha diversifolia","Acalypha diversifolia","Acalypha diversifolia"
"3","Acalmacr","Euphorbiaceae","Acalypha","macrostachya","tree","Acalypha macrostachya","Acalypha macrostachya","Acalypha macrostachya"
"4","Acalsp","Euphorbiaceae","Acalypha","sp","shrub","Acalypha sp","Acalypha sp","Acalypha"
"5","Acantetr","Cactaceae","Acanthocereus","tetragonus","cactus","Acanthocereus tetragonus","Acanthocereus tetragonus","Acanthocereus tetragonus"
"6","Achanigr","Achatocarpaceae","Achatocarpus","nigricans","treelet","Achatocarpus nigricans","Achatocarpus nigricans","Achatocarpus nigricans"
"7","Adenaspe","Bignoniaceae","Adenocalymma","aspericarpum","liana","Adenocalymma aspericarpum","Adenocalymma aspericarpum","Adenocalymma aspericarpum"
"8","Aegiinte","Lamiaceae","Aegiphila","integrifolia","shrub","Aegiphila integrifolia","Aegiphila integrifolia","Aegiphila integrifolia"
"9","Aegisp","Lamiaceae","Aegiphila","sp","shrub","Aegiphila sp","Aegiphila sp","Aegiphila"
"10","Aegisp1","Lamiaceae","Aegiphila","sp1","tree","Aegiphila sp1","Aegiphila sp","Aegiphila"
"11","Agonbras","Opiliaceae","Agonandra","brasiliensis","tree","Agonandra brasiliensis","Agonandra brasiliensis","Agonandra brasiliensis"
"12","Aiousp","Lauraceae","Aiouea","sp","tree","Aiouea sp","Aiouea sp","Aiouea"
"13","Aiphhorr","Arecaceae","Aiphanes","horrida","palm","Aiphanes horrida","Aiphanes horrida","Aiphanes horrida"
"14","Albicarb","Fabaceae","Albizia","carbonaria","tree","Albizia carbonaria","Albizia carbonaria","Albizia carbonaria"
"15","Albiniop","Fabaceae","Albizia","niopoides","tree","Albizia niopoides","Albizia niopoides","Albizia niopoides"
"16","Albisp","Fabaceae","Albizia","sp","treelet","Albizia sp","Albizia sp","Albizia"
"17","Albisp1","Fabaceae","Albizia","sp1","tree","Albizia sp1","Albizia sp","Albizia"
"18","Albisp2","Fabaceae","Albizia","sp2","tree","Albizia sp2","Albizia sp","Albizia"
"19","Alibsp","Rubiaceae","Alibertia","sp","tree","Alibertia sp","Alibertia sp","Alibertia"
"20","Alloniti","Sapindaceae","Allophylus","nitidulus","tree","Allophylus nitidulus","Allophylus nitidulus","Allophylus nitidulus"
"21","Allorace","Sapindaceae","Allophylus","racemosus","tree","Allophylus racemosus","Allophylus racemosus","Allophylus racemosus"
"22","Allosp","Sapindaceae","Allophylus","sp","tree","Allophylus sp","Allophylus sp","Allophylus"
