"","Guajira","Bolivar","Valle","Huila","TolimaS","Cesar","Tolima","Antioquia","Patia"
"Myrilong",46,28,0,0,0,0,0,0,0
"Carlpalm",1,0,0,0,0,0,0,0,0
"Thevahou",6,2,0,0,0,0,0,0,0
"Ficuinsi",28,2,1,2,3,7,0,0,0
"Pipereti",201,22,38,0,0,16,0,0,0
"Bigndive",4,19,0,0,1,28,0,0,0
"Tetrmucr",178,1,0,0,0,23,0,0,0
"Poularma",3,0,0,0,0,3,0,0,0
"Ingasp1",39,1,0,0,0,0,0,0,0
"Guarguid",41,0,0,0,0,4,0,0,0
"Virosebi",39,0,0,0,0,0,0,0,0
"Acaldive",16,19,0,0,0,0,5,0,0
"Laursp3",9,0,0,0,0,0,0,0,0
"Indet29",1,0,0,0,0,0,0,0,0
"Peraarbo",4,0,0,0,0,0,0,0,0
"Machsp4",3,25,0,0,0,0,0,0,0
"Unoncolo",1,0,0,0,0,0,0,0,0
"Astrgrav",18,19,0,14,25,28,17,72,0
"Nectturb",31,0,0,0,0,8,8,0,0
"Dendarbo",24,3,0,1,0,26,0,0,0
"Cupaamer",74,34,0,13,0,0,1,0,0
"Stemgran",8,15,0,3,0,69,3,6,0
"Clarbifl",36,0,0,0,0,0,0,0,0
"Adenaspe",11,0,0,0,0,0,0,0,0
"Hybaprun",8,5,0,0,0,3,0,0,0
"Pittsp",1,0,0,0,0,0,0,0,0
"Sennsp1",8,1,0,0,0,0,0,0,0
"Attabuty",21,3,0,14,0,0,47,0,0
"Malvconc",1,0,0,0,0,0,0,0,0
"Cecrsp",32,0,0,0,0,0,0,0,0
"Stigdich",2,0,0,0,1,0,0,0,0
"Mascdiva",2,0,0,0,0,0,0,0,0
"Zygiinae",8,8,0,0,0,20,0,0,0
"Indet145",1,0,0,0,0,0,0,0,0
"Luehseem",5,1,0,0,0,0,1,0,0
"Phylacum",2,0,0,0,0,0,0,0,0
"Arismaxi",3,0,0,0,0,0,0,6,0
"Sloatuer",1,0,0,0,0,0,0,0,0
"Micospic",9,0,0,1,0,8,3,0,0
"Schemoro",8,0,0,0,0,0,0,0,0
"Ardibart",4,0,0,0,0,0,0,0,0
"Bactsp1",17,0,0,0,0,0,0,0,0
"Zantrhoi",11,0,0,0,0,0,0,0,0
"Nectsp2",15,0,0,0,0,7,0,0,0
"Simaferr",5,0,0,0,0,0,0,0,0
"Prottenu",93,22,0,0,0,21,0,0,0
"Ingasp2",3,1,0,0,0,0,0,0,0
"Geniamer",15,0,3,10,8,0,4,0,0
"Laciaggr",2,0,0,11,5,0,0,0,0
"Diocsp",1,0,0,0,0,0,0,0,0
"Lecymino",2,1,0,0,0,0,0,0,0
"Annorens",1,0,0,0,57,0,0,0,0
"Indet113",1,0,0,0,0,0,0,0,0
"Neeavire",2,4,0,0,0,6,0,0,0
"Anacexce",5,8,0,2,9,9,35,0,0
"Annosp1",1,0,0,0,0,0,0,0,0
"Ficusp3",1,0,0,0,0,0,0,0,0
"Xylofrut",1,0,0,0,0,0,0,0,0
"Brossp1",6,0,0,0,0,0,0,0,0
"Sorospru",2,7,83,11,10,1,31,0,0
"Henrfasc",1,0,0,0,0,0,0,0,0
"Cochviti",5,11,0,0,0,11,0,1,0
"Brosalic",7,26,279,0,0,2,0,0,0
"Connpana",6,2,0,0,0,0,0,0,0
"Malvsp",1,1,0,0,0,0,0,0,0
"Troprace",52,0,0,0,0,0,0,0,0
"Indet42",1,0,0,0,0,0,0,0,0
"Chrysp",6,0,0,0,0,0,0,0,0
"Laursp4",4,0,0,0,0,0,0,0,0
"Picrlati",1,5,0,18,2,0,2,0,0
"Laursp2",4,0,0,0,0,0,0,0,0
"Aspisp1",1,0,0,0,0,0,0,0,0
"Faraocci",1,2,0,0,0,0,0,0,0
"Bignsp1",3,0,0,0,0,0,0,0,0
"Cordbico",28,37,0,0,0,6,0,0,0
"Sorosp",13,0,0,0,0,0,0,0,0
"Dugusp",1,0,0,0,0,0,0,0,0
"Ceibpent",1,0,0,0,0,0,1,1,0
"Tricmart",1,0,0,2,7,0,0,9,0
"Senetest",2,0,0,0,0,0,0,0,0
"Combfrut",17,3,0,33,109,29,0,0,0
"Indet121",1,0,0,0,0,0,0,0,0
"Eugeoers",1,1,0,0,0,1,0,0,0
"Indet129",1,0,0,0,0,0,0,0,0
"Tricolig",0,0,0,0,0,0,142,0,0
"Cordalli",0,99,0,35,0,6,77,0,0
"Casesp",0,0,0,0,0,0,19,0,0
"Guazulmi",42,277,279,59,129,113,60,228,0
"Casecory",1,2,0,47,18,61,47,15,0
"Trichirt",0,0,0,0,0,0,10,0,0
"Macltinc",0,2,0,18,7,3,5,1,0
"Pseuguac",0,1,0,4,14,0,5,5,0
"Machtoli",0,0,0,0,0,0,49,0,0
"Nectacut",0,0,0,0,0,0,49,0,0
"Zantrigi",0,0,0,0,19,0,45,3,0
"Achanigr",0,0,0,0,0,0,3,0,0
"Malpglab",0,20,146,0,0,0,8,2,22
"Casesylv",3,2,0,88,0,11,30,0,0
"Forsspic",0,0,0,0,0,0,9,0,0
"Oxanespi",0,0,0,0,0,0,203,0,0
"Poutcaim",0,0,0,14,2,0,26,0,0
"Tricappe",0,0,0,0,0,0,9,0,0
"Swartria",0,0,0,0,0,0,3,0,0
"Machcapo",0,5,0,217,162,0,13,1,0
"Cocccoro",0,0,0,0,0,0,111,0,0
"Pressp",0,1,0,0,0,0,72,0,0
"Randdioi",0,0,0,0,0,0,29,0,0
"Swarrobi",0,0,0,0,3,0,23,0,0
"Eugesp3",0,0,0,0,2,0,37,0,0
"Erytulei",0,0,0,0,0,0,16,0,0
"Tripamer",0,14,0,0,0,0,26,21,0
"Ampealbe",0,0,0,0,0,0,15,0,0
"Sponmomb",27,26,0,29,12,13,12,0,0
"Buncniti",0,0,0,0,0,0,1,0,0
"Zantschr",0,0,2,5,0,0,1,33,0
"Hieralch",0,0,0,0,0,0,7,0,0
"Coccpadi",0,0,0,0,0,13,3,0,0
"Poutglom",0,0,0,0,0,0,8,0,0
"Zizistry",0,0,0,0,0,3,1,0,0
"Maynsp",0,0,0,0,0,0,5,0,0
"Simicord",0,1,0,0,0,0,1,0,0
"Hiratern",0,0,0,0,0,0,1,0,0
"Pteroffi",0,49,0,0,0,0,2,0,0
"Amyrpinn",0,0,35,10,0,0,7,2,0
"Celtigua",0,5,0,3,0,0,1,0,0
"Chlomang",0,16,1,0,0,0,6,0,0
"Guarsp",0,0,0,0,0,0,8,0,0
"Cynoampl",0,0,6,0,0,0,1,0,0
"Daphamer",0,0,0,0,0,0,1,0,0
"Erythond",0,0,0,0,0,0,10,0,0
"Eugesp1",1,0,0,0,0,0,55,0,0
"Neeadiva",0,0,0,0,0,0,5,0,0
"Swarsimp",0,5,0,0,0,0,19,0,0
"Tricpall",0,1,28,0,0,0,12,0,0
"Zantcari",0,0,8,0,0,0,1,0,0
"Guatanom",0,0,0,0,0,0,1,0,0
"Eugeproc",0,2,495,194,312,0,0,417,0
"Zantverr",0,0,86,0,0,0,0,0,0
"Annomuri",0,0,23,0,0,0,0,0,0
"Sapisapo",0,0,23,13,1,2,0,0,0
"Lycomexi",0,0,29,0,1,0,0,0,0
"Triceleg",0,0,198,0,0,0,0,0,0
"Pipesp5",0,0,29,0,0,0,0,0,0
"Critmori",0,0,52,0,0,0,0,0,0
"Sambnigr",0,0,7,0,0,0,0,0,0
"Pithdulc",0,0,43,0,16,0,0,0,0
"Buncpseu",0,0,100,5,0,0,2,0,0
"Ptersp4",0,0,3,0,0,0,0,0,0
"Cluscoch",0,0,39,0,0,0,0,0,0
"Cascthev",0,0,5,0,0,0,0,0,0
"Pipeauri",0,0,10,0,0,0,0,0,0
"Tricgiga",0,0,63,0,0,0,0,0,0
"Oenosp",0,0,1,0,0,0,0,0,0
"Cithkunt",0,0,39,0,0,0,0,12,0
"Zantfaga",0,0,45,0,0,0,0,4,348
"Vachfarn",0,0,7,0,0,13,0,45,0
"Vachmacr",0,0,13,0,0,0,0,0,0
"Guapcost",0,0,80,26,0,0,0,0,0
"Murrpani",0,0,149,0,0,0,0,0,0
"Bignsp",0,0,9,0,0,0,0,0,0
"Chioalba",0,0,1,0,0,0,0,0,0
"Crotsp2",0,0,8,0,0,0,0,0,0
"Ficusp2",0,26,5,0,5,0,0,0,0
"Machsp13",0,0,1,0,0,0,0,0,0
"Tricocta",0,0,3,0,0,0,0,0,0
"Indet30",0,0,1,0,0,0,0,0,0
"Indet147",0,1,1,0,0,0,0,0,0
"Mandbogo",0,0,1,0,0,0,0,0,0
"Zantgent",0,0,22,0,0,0,0,0,0
"Cynopoly",0,0,1,8,0,1,0,0,0
"Buncsp",0,0,92,0,0,0,0,0,0
"Pisoacul",0,11,6,0,0,0,0,52,0
"Lantcama",0,0,2,0,0,0,0,0,0
"Euphcoti",0,0,9,9,0,0,0,0,0
"Vernpate",0,0,6,0,0,0,0,0,0
"Casesp1",0,49,0,0,0,0,0,0,0
"Ptersp3",0,1,0,0,0,0,0,0,0
"Zantsp1",0,1,0,0,0,0,0,0,0
"Myrcfall",1,51,187,132,149,4,18,0,0
"Pteracap",0,1,0,0,0,51,0,0,0
"Albiniop",0,21,0,4,0,0,0,26,0
